ticker,AHT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-08-26,0.0
2003-08-27,1.1111
2003-08-28,1.6484
2003-08-29,0.2162
2003-09-02,-0.9709
2003-09-03,-0.3268
2003-09-04,1.6393
2003-09-05,0.0
2003-09-08,1.0753
2003-09-09,-1.0638
2003-09-10,-2.1505
2003-09-11,0.2198
2003-09-12,1.9737
2003-09-15,-1.2903
2003-09-16,0.0
2003-09-17,-0.3268
2003-09-18,-0.3279
2003-09-19,0.8772
2003-09-22,-0.3261
2003-09-23,2.181
2003-09-24,-1.8143
2003-09-25,-0.8696
2003-09-26,-2.9605
2003-09-29,1.1299
2003-09-30,0.2235
2003-10-01,0.4459
2003-10-02,0.111
2003-10-03,0.8869
2003-10-06,1.0989
2003-10-07,-0.3261
2003-10-08,1.0905
2003-10-09,-0.7551
2003-10-10,0.0
2003-10-13,-0.5435
2003-10-14,0.5464
2003-10-15,0.4348
2003-10-16,-0.1082
2003-10-17,0.2167
2003-10-20,0.1081
2003-10-21,-0.108
2003-10-22,0.5405
2003-10-23,-1.0753
2003-10-24,-1.7391
2003-10-27,0.9956
2003-10-28,-0.3286
2003-10-29,1.0989
2003-10-30,-0.2174
2003-10-31,-0.3268
2003-11-03,-0.5464
2003-11-04,1.2088
2003-11-05,0.2172
2003-11-06,0.7584
2003-11-07,0.0
2003-11-10,0.8602
2003-11-11,-1.5991
2003-11-12,0.5417
2003-11-13,1.8319
2003-11-14,-0.5291
2003-11-17,0.2128
2003-11-18,-0.9554
2003-11-19,0.2144
2003-11-20,-0.6417
2003-11-21,-0.8611
2003-11-24,0.8686
2003-11-25,0.9688
2003-11-26,0.4264
2003-11-28,0.8493
2003-12-01,1.8947
2003-12-02,-0.3099
2003-12-03,-0.5181
2003-12-04,0.0
2003-12-05,-0.4167
2003-12-08,1.2551999999999999
2003-12-09,-1.6529
2003-12-10,-1.7856999999999998
2003-12-11,-0.2139
2003-12-12,3.6442
2003-12-15,0.2068
2003-12-16,-0.2064
2003-12-17,-1.758
2003-12-18,-0.2105
2003-12-19,-2.0042
2003-12-22,-2.5834
2003-12-23,0.663
2003-12-24,0.4391
2003-12-26,0.5464
2003-12-29,-0.2174
2003-12-30,2.3965
2003-12-31,-0.1064
2004-01-02,0.0
2004-01-05,0.1065
2004-01-06,0.2128
2004-01-07,-1.1677
2004-01-08,0.8593
2004-01-09,-0.213
2004-01-12,-0.2134
2004-01-13,0.0
2004-01-14,0.4278
2004-01-15,0.1065
2004-01-16,-0.1064
