ticker,NES US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-10-13,-25.5952
2017-10-16,-6.6667
2017-10-17,-7.1429
2017-10-18,0.5128
2017-10-19,2.0408
2017-10-20,10.0
2017-10-23,4.5455
2017-10-24,0.4348
2017-10-25,-1.7316
2017-10-26,3.4996
2017-10-27,-4.6581
2017-10-30,1.9643000000000002
2017-10-31,5.0788
2017-11-01,0.8333
2017-11-02,0.981
2017-11-03,0.5213
2017-11-06,1.7715999999999998
2017-11-07,0.0
2017-11-08,-1.2
2017-11-09,0.4049
2017-11-10,-2.4194
2017-11-13,-3.3058
2017-11-14,1.453
2017-11-15,-3.1171
2017-11-16,-4.3478
2017-11-17,-2.2727
2017-11-20,-4.7898
2017-11-21,0.1466
2017-11-22,0.4868
2017-11-27,-2.9126
2017-11-28,0.0
2017-11-29,-1.25
2017-11-30,-2.7889
2017-12-01,-2.3918
2017-12-04,32.3372
2017-12-05,5.7258
2017-12-06,-3.4325
2017-12-07,16.5087
2017-12-08,-2.0339
2017-12-11,-4.6367
2017-12-12,7.402
2017-12-13,-0.4054
2017-12-14,6.038
2017-12-15,3.3909000000000002
2017-12-18,2.5371
2017-12-19,6.8196
2017-12-20,-2.3164
2017-12-21,8.4442
2017-12-22,5.3333
2017-12-26,13.9241
2017-12-27,-2.4444
2017-12-28,-8.8838
2017-12-29,-9.1
2018-01-02,12.7613
2018-01-03,2.2439
2018-01-04,-4.0553
2018-01-05,0.4475
2018-01-08,-2.9703
2018-01-09,1.7856999999999998
2018-01-10,0.7519
2018-01-11,0.0
2018-01-12,0.0
2018-01-16,0.0
2018-01-17,0.0
2018-01-18,0.0
2018-01-19,-1.2934999999999999
2018-01-22,0.3024
2018-01-23,-0.0503
2018-01-24,-1.1564
2018-01-25,-0.5086
2018-01-26,-0.409
2018-01-29,0.3593
2018-01-30,0.0
2018-01-31,0.0
2018-02-01,0.7673
2018-02-02,-2.7919
2018-02-05,-2.7154
2018-02-06,8.642
2018-02-07,-2.8162000000000003
2018-02-08,-1.3726
2018-02-09,-2.5773
2018-02-12,0.5291
2018-02-13,-0.5263
2018-02-14,-1.4815
2018-02-15,2.3093
2018-02-16,2.3622
2018-02-20,-0.1538
2018-02-21,-0.1541
2018-02-22,0.3086
2018-02-23,0.0
2018-02-26,4.8718
2018-02-27,4.6455
2018-02-28,2.4766
2018-03-01,-2.4624
2018-03-02,6.7789
2018-03-05,-4.2469
2018-03-06,2.4691
2018-03-07,-2.8559
2018-03-08,3.537
