ticker,GTXMQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-18,-4.7887
2018-09-19,-8.2147
2018-09-20,-3.043
2018-09-21,0.0
2018-09-24,-2.1538
2018-09-25,-3.7736
2018-09-26,1.8300999999999998
2018-09-27,7.5096
2018-09-28,10.4478
2018-10-01,-0.5946
2018-10-02,-7.5585
2018-10-03,-1.7059
2018-10-04,-2.8127
2018-10-05,0.8005
2018-10-08,5.3146
2018-10-09,-5.9745
2018-10-10,-3.1462
2018-10-11,-2.9299
2018-10-12,-0.1312
2018-10-15,0.5913
2018-10-16,2.0248
2018-10-17,-4.2254
2018-10-18,-3.008
2018-10-19,-2.8946
2018-10-22,-0.9226
2018-10-23,5.1576
2018-10-24,-6.1989
2018-10-25,2.9775
2018-10-26,2.8209
2018-10-29,1.5089000000000001
2018-10-30,-1.7568000000000001
2018-10-31,4.3329
2018-11-01,1.7798
2018-11-02,-3.2383
2018-11-05,-0.8701
2018-11-06,-0.2701
2018-11-07,-5.2133
2018-11-08,-0.9286
2018-11-09,-6.2004
2018-11-12,4.2275
2018-11-13,2.1386
2018-11-14,-2.5271
2018-11-15,-4.0
2018-11-16,-7.0216
2018-11-19,-0.9959
2018-11-20,-1.425
2018-11-21,3.7415000000000003
2018-11-23,-0.6557
2018-11-26,1.7327
2018-11-27,-6.4882
2018-11-28,1.9948000000000001
2018-11-29,-1.7856999999999998
2018-11-30,-0.4329
2018-12-03,0.6957
2018-12-04,-1.2953000000000001
2018-12-06,1.1374
2018-12-07,0.6055
2018-12-10,0.0
2018-12-11,1.8917000000000002
2018-12-12,1.6034000000000002
2018-12-13,-0.1661
2018-12-14,0.3328
2018-12-17,0.4975
2018-12-18,3.3003
2018-12-19,-1.3578000000000001
2018-12-20,-1.5385
2018-12-21,-0.9868
2018-12-24,2.6578
2018-12-26,0.8091
2018-12-27,-3.13
2018-12-28,1.9056
2018-12-31,0.3252
2019-01-02,2.5122
2019-01-03,-7.3518
2019-01-04,-1.4505
2019-01-07,1.2987
2019-01-08,11.3675
2019-01-09,1.4582
2019-01-10,-0.7564
2019-01-11,0.9909
2019-01-14,1.5093999999999999
2019-01-15,0.2974
2019-01-16,6.0044
2019-01-17,6.6434
2019-01-18,3.6721
2019-01-22,-3.8583
2019-01-23,0.3947
2019-01-24,-1.5727
2019-01-25,1.1318
2019-01-28,1.185
2019-01-29,0.3904
2019-01-30,2.7868
2019-01-31,0.6936
2019-02-01,1.1897
2019-02-04,0.4332
2019-02-05,-0.5545
