ticker,NGVC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-07-25,19.0667
2012-07-26,7.7828
2012-07-27,3.3766
2012-07-30,0.5025
2012-07-31,1.4
2012-08-01,-2.6627
2012-08-02,-1.8744
2012-08-03,2.0702
2012-08-06,0.4502
2012-08-07,-0.856
2012-08-08,-3.4027
2012-08-09,-2.5237
2012-08-10,2.7508
2012-08-13,-1.4698
2012-08-14,-0.3729
2012-08-15,-1.3316
2012-08-16,1.4579
2012-08-17,-0.8013
2012-08-20,0.6462
2012-08-21,-1.1236
2012-08-22,-0.3247
2012-08-23,1.5201
2012-08-24,4.7059
2012-08-27,6.8948
2012-08-28,-1.0511
2012-08-29,-1.014
2012-08-30,5.0732
2012-08-31,-0.2786
2012-09-04,0.0466
2012-09-05,-0.3723
2012-09-06,-1.2144
2012-09-07,-0.9929
2012-09-10,-1.5758999999999999
2012-09-11,-0.0485
2012-09-12,-4.0777
2012-09-13,5.7692
2012-09-14,1.0048
2012-09-17,4.6423
2012-09-18,1.5844
2012-09-19,1.1586
2012-09-20,-2.2467
2012-09-21,2.9292
2012-09-24,-0.4378
2012-09-25,-2.9903
2012-09-26,1.6772
2012-09-27,-1.07
2012-09-28,0.5858
2012-10-01,4.9731
2012-10-02,0.2561
2012-10-03,5.364
2012-10-04,-0.404
2012-10-05,-2.5152
2012-10-08,-2.705
2012-10-09,-5.6459
2012-10-10,1.4506000000000001
2012-10-11,0.5362
2012-10-12,-0.4444
2012-10-15,-0.0446
2012-10-16,-1.5185
2012-10-17,-0.2268
2012-10-18,-0.8182
2012-10-19,-1.8332000000000002
2012-10-22,-5.7423
2012-10-23,1.7335
2012-10-24,-2.8238
2012-10-25,0.7515
2012-10-26,1.0443
2012-10-31,-0.1969
2012-11-01,0.641
2012-11-02,-3.2337
2012-11-05,-3.038
2012-11-06,0.6789
2012-11-07,-3.5788
2012-11-08,0.4841
2012-11-09,-2.9979
2012-11-12,0.7726
2012-11-13,-1.6429
2012-11-14,5.2895
2012-11-15,5.1296
2012-11-16,0.9557
2012-11-19,4.8829
2012-11-20,1.2352
2012-11-21,-1.0793
2012-11-23,1.9924
2012-11-26,-2.4651
2012-11-27,-5.0548
2012-11-28,-1.4062999999999999
2012-11-29,-1.6301999999999999
2012-11-30,-0.725
2012-12-03,0.5738
2012-12-04,4.2531
2012-12-05,0.199
2012-12-06,4.0715
2012-12-07,0.0
2012-12-10,0.334
2012-12-11,-0.3329
2012-12-12,-7.5382
2012-12-13,3.0444
