ticker,SOUG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-12-07,-66.6667
2013-05-22,900.0
2013-05-24,-60.0
2013-05-28,405.0
2013-06-04,0.0
2013-06-05,48.5149
2014-05-30,-32.0
2014-06-02,0.0
2014-06-03,-50.0
2014-06-04,0.0
2014-06-05,0.0
2014-06-06,0.0
2014-06-09,0.0
2014-06-10,-60.7843
2014-06-20,150.0
2014-06-23,10.0
2014-06-24,90.9091
2014-09-16,-28.5714
2014-09-18,66.6667
2014-09-19,40.0
2014-09-23,-14.2857
2014-10-14,-33.3333
2014-10-15,-10.0
2014-10-16,11.1111
2014-10-22,50.0
2014-11-03,-33.3333
2014-11-10,-10.0
2014-11-19,11.1111
2014-11-21,25.0
2014-12-03,20.0
2014-12-22,-16.6667
2014-12-29,-24.0
2014-12-30,26.3158
2015-02-25,-20.8333
2015-03-03,15.7895
2015-03-24,9.0909
2015-03-26,16.6667
2015-03-30,25.0
2015-04-02,24.0
2015-04-16,12.6728
2015-04-23,12.4744
2015-05-05,14.9091
2015-05-13,10.7595
2015-06-03,28.5714
2015-06-05,33.3333
2015-07-28,16.6667
2015-07-31,7.1429
2015-08-04,1.6667
2015-08-18,0.0
2015-09-09,-1.6393
2015-10-28,0.0
2016-01-22,1.9333
2016-07-15,3.7933
