ticker,IMMR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.1173
2000-01-04,-12.4792
2000-01-05,1.9011
2000-01-06,-2.7984999999999998
2000-01-07,11.3244
2000-01-10,-6.2069
2000-01-11,-2.2059
2000-01-12,-0.7519
2000-01-13,-1.7045
2000-01-14,0.3854
2000-01-18,14.3954
2000-01-19,0.6711
2000-01-20,-2.6667
2000-01-21,11.9863
2000-01-24,-12.5382
2000-01-25,-2.0979
2000-01-26,-0.7143
2000-01-27,4.4964
2000-01-28,-4.9914
2000-01-31,2.8986
2000-02-01,1.4085
2000-02-02,0.0
2000-02-03,-3.4722
2000-02-04,12.2302
2000-02-07,0.0
2000-02-08,11.859
2000-02-09,-6.5903
2000-02-10,-3.0675
2000-02-11,2.2152
2000-02-14,-0.9288
2000-02-15,-3.125
2000-02-16,-7.0968
2000-02-17,0.0
2000-02-18,-3.8194
2000-02-22,-7.9422
2000-02-23,6.4706
2000-02-24,-5.3407
2000-02-25,-0.3891
2000-02-28,14.4531
2000-02-29,6.1433
2000-03-01,2.8939
2000-03-02,5.0
2000-03-03,3.4226
2000-03-06,4.1727
2000-03-07,3.3149
2000-03-08,0.5348
2000-03-09,2.1277
2000-03-10,4.6875
2000-03-13,16.915399999999998
2000-03-14,12.3404
2000-03-15,4.7348
2000-03-16,-0.7233
2000-03-17,-3.643
2000-03-20,-5.104
2000-03-21,-6.9721
2000-03-22,8.137
2000-03-23,1.7822
2000-03-24,-6.6148
2000-03-27,7.8125
2000-03-28,12.657
2000-03-29,-8.2333
2000-03-30,-7.2897
2000-03-31,-3.2258
2000-04-03,-38.4375
2000-04-04,8.291
2000-04-05,20.625
2000-04-06,5.6995000000000005
2000-04-07,6.8627
2000-04-10,-7.4541
2000-04-11,-4.5849
2000-04-12,-10.1299
2000-04-13,-10.4046
2000-04-14,-21.2903
2000-04-17,-4.918
2000-04-18,31.0345
2000-04-19,-11.8421
2000-04-20,2.2388
2000-04-24,-8.7591
2000-04-25,0.8
2000-04-26,0.0
2000-04-27,2.3810000000000002
2000-04-28,11.6279
2000-05-01,6.25
2000-05-02,-6.2092
2000-05-03,-12.1951
2000-05-04,2.7778
2000-05-05,6.1776
2000-05-08,-14.9091
2000-05-09,-12.8205
2000-05-10,-8.0882
2000-05-11,-8.2667
2000-05-12,6.3953
2000-05-15,0.5464
2000-05-16,1.087
2000-05-17,-3.2258
2000-05-18,-10.8333
2000-05-19,-2.8037
2000-05-22,-12.8205
2000-05-23,-18.0147
