ticker,GLG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-08-13,-1.6923
2013-08-14,94.8357
2013-08-15,14.3775
2013-08-16,-27.8792
2013-08-19,-12.3661
2013-08-20,-2.7667
2013-08-21,11.9872
2013-08-22,8.6735
2013-08-23,-2.8075
2013-08-26,-5.3232
2013-08-27,12.7551
2013-08-28,-1.5385
2013-08-29,-5.4228
2013-08-30,-1.9436
2013-09-03,0.2973
2013-09-04,-0.8893
2013-09-05,-2.1934
2013-09-06,0.1019
2013-09-09,-3.2587
2013-09-10,2.4211
2013-09-11,-1.5415999999999999
2013-09-12,-3.2359
2013-09-13,1.8338999999999999
2013-09-16,-2.5423999999999998
2013-09-17,3.3696
2013-09-18,-2.734
2013-09-19,16.5405
2013-09-20,-4.5455
2013-09-23,-3.111
2013-09-24,-2.7069
2013-09-25,3.0928
2013-09-26,-4.5
2013-09-27,-0.9424
2013-09-30,-0.74
2013-10-01,1.1608
2013-10-02,1.7883
2013-10-03,-2.0569
2013-10-04,-0.528
2013-10-07,4.8832
2013-10-08,-5.1619
2013-10-09,-0.4269
2013-10-10,1.597
2013-10-11,-1.4664
2013-10-14,-0.2141
2013-10-15,6.7597000000000005
2013-10-16,22.4121
2013-10-17,-10.3448
2013-10-18,-1.0989
2013-10-21,-6.5741
2013-10-22,-3.2706
2013-10-23,6.9672
2013-10-24,-4.1188
2013-10-25,0.0
2013-10-28,-4.4955
2013-10-29,0.0
2013-10-30,-0.4184
2013-10-31,2.416
2013-11-01,-2.2564
2013-11-04,1.3641
2013-11-05,4.6584
2013-11-06,-4.0554
2013-11-07,0.6186
2013-11-08,-2.0492
2013-11-11,2.1967
2013-11-12,0.1024
2013-11-13,-1.1247
2013-11-14,-0.9294
2013-11-15,3.8211
2013-11-18,-3.4806
2013-11-19,-1.875
2013-11-20,-1.6985000000000001
2013-11-21,-3.1317
2013-11-22,-0.6689
2013-11-25,-1.2346
2013-11-26,0.3409
2013-11-27,-0.1147
2013-11-29,-0.2253
2013-12-02,-0.9091
2013-12-03,-4.7018
2013-12-04,-1.9254
2013-12-05,-1.1043
2013-12-06,3.3499
2013-12-09,4.3217
2013-12-10,-0.1151
2013-12-11,-0.1152
2013-12-12,-1.6148
2013-12-13,-0.5862
2013-12-16,-3.3019
2013-12-17,0.0
2013-12-18,1.5854
2013-12-19,-2.8811999999999998
2013-12-20,0.7417
2013-12-23,3.0675
2013-12-24,0.9524
2013-12-26,-3.3019
2013-12-27,-0.4878
2013-12-30,-4.4118
