ticker,ALBO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-05-11,20.0
2007-05-14,1.2778
2007-05-15,-1.8651
2007-05-16,0.8385
2007-05-17,-1.0532
2007-05-18,-0.9524
2007-05-21,1.8665
2007-05-22,-0.0555
2007-05-23,-1.5556
2007-05-24,2.991
2007-05-25,0.0219
2007-05-29,0.0329
2007-05-30,-1.4239
2007-05-31,-0.6667
2007-06-01,2.9083
2007-06-04,-0.0543
2007-06-05,-1.2507
2007-06-06,-2.5881
2007-06-07,-1.0175
2007-06-08,-0.9138
2007-06-11,3.6311
2007-06-12,-1.6129
2007-06-13,-0.7914
2007-06-14,-0.4558
2007-06-15,5.6669
2007-06-18,1.3001
2007-06-19,9.6257
2007-06-20,4.878
2007-06-21,-2.3256
2007-06-22,-2.7143
2007-06-25,-0.5384
2007-06-26,-5.7579
2007-06-27,2.7676
2007-06-28,-0.9654
2007-06-29,1.5906
2007-07-02,0.8081
2007-07-03,1.2024
2007-07-05,0.7921
2007-07-06,0.835
2007-07-09,-1.8022
2007-07-10,-3.4226
2007-07-11,-3.0817
2007-07-12,0.106
2007-07-13,-2.1705
2007-07-16,-1.2987
2007-07-17,1.4254
2007-07-18,1.7297
2007-07-19,-1.2221
2007-07-20,-1.1296
2007-07-23,2.0675
2007-07-24,-1.4392
2007-07-25,0.1622
2007-07-26,-1.5119
2007-07-27,-2.3575
2007-07-30,-3.6496
2007-07-31,-1.5152
2007-08-01,-0.7101
2007-08-02,-1.1919
2007-08-03,-5.4885
2007-08-06,-3.7652
2007-08-07,0.7294
2007-08-08,3.0941
2007-08-09,-7.3436
2007-08-10,3.2391
2007-08-13,6.8091
2007-08-14,-1.3125
2007-08-15,-0.38
2007-08-16,4.7044
2007-08-17,-0.85
2007-08-20,1.041
2007-08-21,0.7879
2007-08-22,6.1936
2007-08-23,0.0
2007-08-24,0.3964
2007-08-27,1.2408
2007-08-28,-0.7242
2007-08-29,-2.3569
2007-08-30,3.7356
2007-08-31,4.8753
2007-09-04,4.5959
2007-09-05,-1.9192
2007-09-06,-0.1545
2007-09-07,-4.229
2007-09-10,-1.1309
2007-09-11,-1.7974
2007-09-12,-0.1664
2007-09-13,4.2778
2007-09-14,0.959
2007-09-17,-1.0554
2007-09-18,1.8667
2007-09-19,-0.3665
2007-09-20,-2.0494
2007-09-21,-1.6094
2007-09-24,0.3817
2007-09-25,-5.4861
2007-09-26,-2.5862
2007-09-27,1.7109
2007-09-28,-1.1601
2007-10-01,-6.5141
