ticker,ITMC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-05-19,104.0
2009-06-05,135.2941
2009-06-08,25.0
2009-06-10,33.3333
2009-06-11,40.0
2009-06-12,16.0714
2009-06-15,-3.0769
2009-06-16,-1.5873
2009-06-17,4.8387
2009-06-25,3.0769
2009-07-01,-5.8563
2009-07-13,23.6599
2009-07-15,161.5385
2009-07-21,-33.3333
2009-07-27,-23.5294
2009-07-28,-23.0769
2009-08-06,25.0
2009-08-11,20.0
2009-08-13,-16.6667
2009-08-17,0.0
2009-08-19,0.0
2009-08-21,14.0
2009-08-24,-12.2807
2009-09-01,0.0
2009-09-03,0.0
2009-09-10,64.0
2009-09-11,-2.439
2009-09-24,1.25
2009-09-29,-1.2346
2009-09-30,-10.0
2009-10-20,-16.6667
2009-10-22,-13.3333
2009-10-29,3.8462
2009-10-30,66.6667
2009-12-04,-13.3333
2009-12-07,15.3846
2009-12-08,0.0
2009-12-09,4.4444
2009-12-10,-14.8936
2009-12-11,10.0
2009-12-14,-9.0909
2009-12-15,12.5
2009-12-16,-2.2222
2009-12-17,13.6364
2009-12-18,8.0
2009-12-21,-9.2593
2009-12-22,-4.0816
2009-12-23,6.383
2009-12-24,-13.0
2009-12-28,14.9425
2009-12-29,2.0
2009-12-30,-3.9215999999999998
2009-12-31,6.1224
2010-01-04,-3.8462
2010-01-05,0.0
2010-01-06,6.0
2010-01-07,-11.3208
2010-01-08,-12.766
2010-01-11,24.3902
2010-01-12,-33.3333
2010-01-13,41.1765
2010-01-19,-1.0417
2010-01-20,-41.0526
2010-01-21,60.7143
2010-01-22,-46.6667
2010-01-25,-4.1667
2010-01-26,-34.7826
2010-01-27,100.0
2010-01-28,-6.6667
2010-01-29,14.2857
2010-02-01,6.25
2010-02-02,-20.5882
2010-02-03,22.2222
2010-02-04,3.0303
2010-02-05,0.0
2010-02-08,0.0
2010-02-09,0.0
2010-02-10,-14.7059
2010-02-11,17.2414
2010-02-12,-2.9412000000000003
2010-02-16,3.0303
2010-02-17,-50.0
2010-02-18,17.647100000000002
2010-02-19,20.0
2010-02-22,12.5
2010-02-23,-25.9259
2010-02-24,-15.0
2010-02-25,17.0588
2010-02-26,-4.5226
2010-03-01,-10.526299999999999
2010-03-02,-5.8824
2010-03-03,0.0
2010-03-04,15.625
2010-03-05,13.5135
2010-03-08,4.7619
2010-03-09,-13.6364
2010-03-10,-15.7895
2010-03-11,0.0
2010-03-12,28.125
2010-03-15,-2.439
2010-03-16,-15.0
