ticker,TBTEF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-12-09,20.8406
2002-12-19,-13.0435
2003-01-08,-10.0
2003-06-06,22.2222
2003-06-17,-10.6061
2003-08-27,1.6949
2003-09-03,-10.0
2003-10-21,-3.7037
2003-11-21,0.0
2004-02-24,0.0
2004-05-04,-11.538499999999999
2004-07-02,10.8696
2005-09-16,25.8824
2005-11-11,-0.3115
2005-12-16,32.8125
2005-12-19,2.3529
2005-12-21,-1.1494
2005-12-28,-3.9535
2005-12-29,8.9588
2005-12-30,2.2222
2006-01-03,1.087
2006-01-04,0.0
2006-01-05,-1.9355
2006-01-09,-5.7018
2006-01-13,6.9767
2006-01-17,2.1739
2006-01-23,10.0
2006-02-02,-1.354
2006-02-03,1.9607999999999999
2006-02-13,-1.9231
2006-02-21,-5.8824
2006-02-27,-8.3333
2006-02-28,2.7273
2006-03-02,-0.4425
2006-03-10,0.0
2006-03-17,8.8889
2006-03-21,0.0
2006-03-30,2.0408
2006-04-07,15.0
2006-04-10,2.9565
2006-04-12,-3.4945
2006-08-03,65.1132
2006-08-24,2.8291
2006-08-25,-0.4124
2006-08-28,0.4141
2006-08-29,-2.1649
2006-08-30,-1.1591
2006-08-31,-1.4925
2006-09-19,-15.1718
2006-10-05,-16.4341
2006-10-18,-3.8167999999999997
2006-10-27,20.615099999999998
2006-11-09,-15.973
2006-11-10,-11.5114
2006-11-14,1.4159
2006-11-20,-0.5236
2006-12-01,16.6996
2006-12-04,0.0752
2006-12-05,0.1972
2006-12-07,5.9408
2006-12-08,-0.0354
2006-12-12,-1.7342
2006-12-13,0.8464
2006-12-14,-1.9731999999999998
2006-12-15,2.2315
2006-12-19,0.2316
2006-12-21,-3.3867
2006-12-27,0.6716
2007-01-03,-7.7865
2007-01-11,-9.9901
2007-01-12,0.4184
2007-02-08,-1.6667
2007-02-21,-4.0143
2007-02-23,-5.6924
2007-03-27,-6.6765
2007-04-04,7.1542
2007-04-05,-0.9362
2007-04-09,-0.1617
2007-04-10,0.411
2007-04-11,0.3225
2007-04-12,-1.0633
2007-04-18,14.1715
2007-04-20,0.8209
2007-05-11,2.1387
2007-05-18,2.1896
2007-06-04,0.3537
2007-06-08,7.9001
2007-08-15,-29.3097
2007-08-16,-0.7827
2007-09-14,10.2693
2007-10-09,-3.4181
2007-10-31,4.0329
2007-11-14,1.1076
2007-11-15,-2.1909
2007-11-20,-0.115
2007-11-21,0.0
2007-11-23,-0.1126
2007-11-28,-0.208
2007-12-03,-1.3634
