ticker,NDSN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.2021
2000-01-04,-2.6616
2000-01-05,0.651
2000-01-06,-1.3583
2000-01-07,0.3279
2000-01-10,-1.4379
2000-01-11,2.2546
2000-01-12,0.5188
2000-01-13,-0.129
2000-01-14,-0.5168
2000-01-18,-2.987
2000-01-19,2.8112
2000-01-20,-1.0417
2000-01-21,-2.6316
2000-01-24,-1.3514
2000-01-25,-4.3836
2000-01-26,-3.7249
2000-01-27,2.3810000000000002
2000-01-28,-1.0174
2000-01-31,1.0279
2000-02-01,-1.1628
2000-02-02,-3.5294
2000-02-03,-0.4573
2000-02-04,1.3783
2000-02-07,2.1148
2000-02-08,-5.3254
2000-02-09,2.5
2000-02-10,0.0381
2000-02-11,-0.0381
2000-02-14,-5.1829
2000-02-15,-1.4469
2000-02-16,-2.447
2000-02-17,2.3411
2000-02-18,-3.268
2000-02-22,-0.5068
2000-02-23,-0.3396
2000-02-24,-0.3407
2000-02-25,0.2564
2000-02-28,-1.2788
2000-02-29,7.0812
2000-03-01,4.8645
2000-03-02,-4.3344
2000-03-03,4.3689
2000-03-06,-2.0155
2000-03-07,0.7911
2000-03-08,5.9655000000000005
2000-03-09,5.037
2000-03-10,0.3879
2000-03-13,-2.3534
2000-03-14,-6.7626
2000-03-15,4.9383
2000-03-16,-0.8824
2000-03-17,-1.6320000000000001
2000-03-20,-2.2624
2000-03-21,9.5679
2000-03-22,-2.2535
2000-03-23,1.8732
2000-03-24,1.8388
2000-03-27,-1.1111
2000-03-28,-5.618
2000-03-29,2.3810000000000002
2000-03-30,1.4535
2000-03-31,5.5874
2000-04-03,2.8494
2000-04-04,-5.8047
2000-04-05,5.3221
2000-04-06,-2.1277
2000-04-07,-4.6196
2000-04-10,-2.7066
2000-04-11,0.0
2000-04-12,1.9034
2000-04-13,1.5805
2000-04-14,1.1315
2000-04-17,-1.3986
2000-04-18,2.695
2000-04-19,-2.2099
2000-04-20,0.7062
2000-04-24,-1.2623
2000-04-25,2.1307
2000-04-26,0.8345
2000-04-27,-1.6552
2000-04-28,0.2805
2000-05-01,1.5385
2000-05-02,-2.6170999999999998
2000-05-03,-2.1216
2000-05-04,0.289
2000-05-05,1.8732
2000-05-08,-3.2532
2000-05-09,-1.1696
2000-05-10,-3.2544
2000-05-11,5.5046
2000-05-12,3.4783
2000-05-15,-3.5014
2000-05-16,7.1118
2000-05-17,-2.439
2000-05-18,-1.1111
2000-05-19,-3.3708
2000-05-22,4.3605
