ticker,GTHX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-05-17,0.0
2017-05-18,10.6667
2017-05-19,-0.4819
2017-05-22,0.3027
2017-05-23,-1.2674
2017-05-24,1.2836
2017-05-25,1.4484
2017-05-26,2.558
2017-05-30,3.9443
2017-05-31,2.1205
2017-06-01,3.4426
2017-06-02,0.0528
2017-06-05,1.056
2017-06-06,-5.4859
2017-06-07,2.2664
2017-06-08,0.9189
2017-06-09,-0.4285
2017-06-12,-3.2275
2017-06-13,-4.169
2017-06-14,-3.7702999999999998
2017-06-15,-0.2411
2017-06-16,3.4441
2017-06-19,-0.5841
2017-06-20,-1.2338
2017-06-21,0.238
2017-06-22,4.095
2017-06-23,0.2851
2017-06-26,2.3309
2017-06-27,1.1111
2017-06-28,-0.5495
2017-06-29,-0.5525
2017-06-30,-3.1111
2017-07-03,0.6307
2017-07-05,-2.4501
2017-07-06,-2.3364
2017-07-07,1.0766
2017-07-10,-1.5385
2017-07-11,-6.5504999999999995
2017-07-12,-1.2219
2017-07-13,-0.7813
2017-07-14,1.1811
2017-07-17,0.454
2017-07-18,-0.1937
2017-07-19,-0.3881
2017-07-20,-1.9481000000000002
2017-07-21,0.7285
2017-07-24,-1.2492
2017-07-25,-0.0666
2017-07-26,-2.7315
2017-07-27,0.6164
2017-07-28,0.0681
2017-07-31,-3.1973
2017-08-01,-5.0597
2017-08-02,-3.775
2017-08-03,-3.6154
2017-08-04,4.7087
2017-08-07,1.1433
2017-08-08,-3.165
2017-08-09,-2.4903
2017-08-10,0.4789
2017-08-11,1.4297
2017-08-14,1.8011
2017-08-15,10.7692
2017-08-16,-3.125
2017-08-17,12.043
2017-08-18,2.4952
2017-08-21,11.6105
2017-08-22,-4.4743
2017-08-23,1.5222
2017-08-24,3.9792
2017-08-25,-4.3261
2017-08-28,2.7826
2017-08-29,3.3841
2017-08-30,1.5821
2017-08-31,1.1815
2017-09-01,7.3248
2017-09-05,6.2315
2017-09-06,19.7393
2017-09-07,3.577
2017-09-08,-0.488
2017-09-11,2.301
2017-09-12,-4.1298
2017-09-13,1.4231
2017-09-14,0.3792
2017-09-15,-2.4178
2017-09-18,-4.1038
2017-09-19,-0.2826
2017-09-20,0.5263
2017-09-21,0.2819
2017-09-22,-0.6827
2017-09-25,1.0918
2017-09-26,-0.2
2017-09-27,1.6032
2017-09-28,-0.3945
2017-09-29,-1.4257
2017-10-02,5.2632
2017-10-03,-2.2519
2017-10-04,0.1562
2017-10-05,1.5594999999999999
