ticker,CCM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-12-11,-13.6364
2009-12-14,-2.0
2009-12-15,-5.478
2009-12-16,2.6136
2009-12-17,-2.3256
2009-12-18,-1.8141
2009-12-21,-1.2702
2009-12-22,-0.4678
2009-12-23,0.0
2009-12-24,1.0576
2009-12-28,-0.6977
2009-12-29,0.2342
2009-12-30,1.0514000000000001
2009-12-31,-0.1156
2010-01-04,1.3889
2010-01-05,7.5342
2010-01-06,-0.1062
2010-01-07,4.8884
2010-01-08,0.304
2010-01-11,-2.2235
2010-01-12,-0.7219
2010-01-13,-0.5203
2010-01-14,0.0
2010-01-15,2.7197
2010-01-19,5.6008
2010-01-20,0.4822
2010-01-21,-1.5354999999999999
2010-01-22,-1.2671000000000001
2010-01-25,-0.2962
2010-01-26,-1.4851
2010-01-27,0.0
2010-01-28,-1.005
2010-01-29,0.6091
2010-02-01,-2.1191
2010-02-02,-1.4433
2010-02-03,-0.7335
2010-02-04,-3.6868
2010-02-05,-7.3304
2010-02-08,-0.8264
2010-02-09,-0.8333
2010-02-10,0.8403
2010-02-11,0.119
2010-02-12,5.9453
2010-02-16,-2.3569
2010-02-17,-2.2989
2010-02-18,1.1764999999999999
2010-02-19,-1.0465
2010-02-22,0.1175
2010-02-23,0.5883
2010-02-24,-0.0015
2010-02-25,0.1167
2010-02-26,-0.2331
2010-03-01,8.528
2010-03-02,0.1076
2010-03-03,0.0
2010-03-04,-2.5806
2010-03-05,-1.1038000000000001
2010-03-08,0.2232
2010-03-09,-0.8909
2010-03-10,-1.1236
2010-03-11,0.0
2010-03-12,-2.5
2010-03-15,0.2331
2010-03-16,-2.5581
2010-03-17,4.0573
2010-03-18,-0.2294
2010-03-19,-2.4138
2010-03-22,-7.8916
2010-03-23,-9.2072
2010-03-24,0.7042
2010-03-25,-2.2378
2010-03-26,-0.1431
2010-03-29,1.0029
2010-03-30,-1.4184
2010-03-31,-2.0144
2010-04-01,-0.5874
2010-04-05,0.1477
2010-04-06,-0.295
2010-04-07,0.5917
2010-04-08,1.1764999999999999
2010-04-09,1.5988
2010-04-12,1.8598
2010-04-13,-0.1404
2010-04-14,-0.8439
2010-04-15,2.5532
2010-04-16,-1.5213999999999999
2010-04-19,0.4213
2010-04-20,-0.4196
2010-04-21,-1.1236
2010-04-22,0.4261
2010-04-23,0.1414
2010-04-26,1.1299
2010-04-27,2.933
2010-04-28,0.8141
2010-04-29,0.0
2010-04-30,-2.288
2010-05-03,0.0
