ticker,KIDBQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.0476
2000-01-04,-1.2407
2000-01-05,-0.2513
2000-01-06,0.7557
2000-01-07,2.0
2000-01-10,-0.2451
2000-01-11,-1.7199
2000-01-12,0.5
2000-01-13,0.0
2000-01-14,0.0
2000-01-18,0.0
2000-01-19,0.2488
2000-01-20,0.4963
2000-01-21,-2.716
2000-01-24,-0.5076
2000-01-25,-1.0204
2000-01-26,0.5155
2000-01-27,0.0
2000-01-28,-0.2564
2000-01-31,1.0283
2000-02-01,-1.2723
2000-02-02,-3.0928
2000-02-03,3.7234
2000-02-04,-0.2564
2000-02-07,0.0
2000-02-08,-1.5424
2000-02-09,0.0
2000-02-10,0.2611
2000-02-11,0.5208
2000-02-14,-24.3523
2000-02-15,3.7671
2000-02-16,3.6304
2000-02-17,1.2739
2000-02-18,0.0
2000-02-22,0.3145
2000-02-23,-0.627
2000-02-24,-1.5773000000000001
2000-02-25,-1.9231
2000-02-28,-4.2484
2000-02-29,0.3413
2000-03-01,-3.0612
2000-03-02,-1.0526
2000-03-03,0.0
2000-03-06,0.7092
2000-03-07,-2.4648
2000-03-08,-0.8953
2000-03-09,0.0
2000-03-10,-1.107
2000-03-13,0.0
2000-03-14,-4.4776
2000-03-15,3.125
2000-03-16,-0.3788
2000-03-17,3.4221
2000-03-20,-1.8382
2000-03-21,-0.3745
2000-03-22,0.0
2000-03-23,2.2556
2000-03-24,1.8382
2000-03-27,1.083
2000-03-28,0.7143
2000-03-29,4.2553
2000-03-30,2.7211
2000-03-31,-1.9868000000000001
2000-04-03,5.4054
2000-04-04,-1.2821
2000-04-05,-1.9481000000000002
2000-04-06,1.3245
2000-04-07,-1.9607999999999999
2000-04-10,-2.0
2000-04-11,2.0408
2000-04-12,1.0
2000-04-13,0.0
2000-04-14,-1.3201
2000-04-17,-3.3445
2000-04-18,0.692
2000-04-19,1.0309
2000-04-20,-0.6803
2000-04-24,-1.3699
2000-04-25,3.8194
2000-04-26,-0.6689
2000-04-27,-1.6835
2000-04-28,2.0548
2000-05-01,0.0
2000-05-02,0.0
2000-05-03,0.0
2000-05-04,2.0134
2000-05-05,-0.6579
2000-05-08,-0.9934
2000-05-09,3.3445
2000-05-10,-3.5599
2000-05-11,-0.3356
2000-05-12,-1.3468
2000-05-15,3.413
2000-05-16,0.33
2000-05-17,0.0
2000-05-18,-0.9868
2000-05-19,0.3322
2000-05-22,-0.8212
2000-05-23,0.0
2000-05-24,0.0
