ticker,QUTR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-04-08,0.0
2010-04-12,5.0
2010-04-13,-4.7619
2010-04-14,-20.0
2010-04-22,-21.875
2010-04-23,40.0
2010-04-26,-28.5714
2010-04-27,20.0
2010-04-28,-10.0
2010-04-29,18.5185
2010-04-30,9.375
2010-05-03,14.2857
2010-05-06,-37.5
2010-05-10,20.0
2010-05-11,33.3333
2010-05-12,-12.5
2010-05-13,14.2857
2010-05-14,22.5
2010-05-17,-8.1633
2010-05-18,-11.1111
2010-05-19,-5.0
2010-05-20,-18.4211
2010-05-21,3.2258
2010-05-24,4.6875
2010-05-25,-10.4478
2010-05-27,-13.3333
2010-05-28,-15.3846
2010-06-01,13.6364
2010-06-02,0.0
2010-06-03,-21.2
2010-06-04,26.9036
2010-06-08,4.0
2010-06-09,-26.9231
2010-06-10,5.2632
2010-06-11,-30.0
2010-06-14,0.0
2010-06-15,0.0
2010-06-16,-14.2857
2010-06-18,-16.6667
2010-06-21,40.0
2010-06-22,0.0
2010-06-24,35.7143
2010-06-25,-42.1053
2010-07-07,18.1818
2010-07-08,-7.6923
2010-07-09,-4.1667
2010-07-12,-13.0435
2010-07-13,0.0
2010-07-15,-0.125
2010-07-16,-14.8936
2010-07-19,17.647100000000002
2010-07-21,20.0
2010-07-22,-12.5
2010-07-26,0.0
2010-07-29,14.2857
2010-07-30,-25.0
2010-08-02,-13.3333
2010-08-03,15.3846
2010-08-05,0.0
2010-08-16,0.0
2010-08-18,33.3333
2010-08-19,-17.5
2010-08-20,6.0606
2010-08-24,0.0
2010-08-25,-42.8571
2010-08-26,10.0
2010-08-27,59.0909
2010-08-30,-23.3929
2010-08-31,4.4289
2010-09-08,-17.8571
2010-09-13,-13.0435
2010-09-14,25.0
2010-09-15,60.0
2010-09-16,-17.5
2010-09-17,6.0606
2010-09-20,28.5714
2010-09-22,-11.1111
2010-09-23,0.0
2010-09-24,0.0
2010-10-05,-25.0
2010-10-06,0.0
2010-10-07,16.6667
2010-10-08,0.0
2010-10-13,0.0
2010-10-14,28.5714
2010-10-15,0.0
2010-10-18,0.0
2010-10-19,-6.6667
2010-10-20,-10.7143
2010-10-21,-14.6667
2010-10-22,-15.2344
2010-10-25,-48.3871
2010-10-26,-15.1786
2010-10-27,-16.8421
2010-10-28,31.6456
2010-10-29,-7.6923
2010-11-01,-20.8333
2010-11-02,5.2632
2010-11-03,0.0
2010-11-04,-20.0
2010-11-05,-2.3438
2010-11-08,-12.8
