ticker,UWKI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-04-11,-60.0
2000-04-12,-50.0
2000-04-27,0.0
2000-09-07,0.0
2000-10-26,0.0
2000-12-07,100.0
2001-01-04,-37.5
2001-02-05,140.0
2001-02-13,0.0
2001-02-26,-33.3333
2001-03-12,-37.5
2001-06-14,20.0
2001-10-02,-33.3333
2002-07-12,0.0
2002-07-15,0.0
2002-10-14,-45.0
2003-05-21,81.8182
2003-09-23,50.0
2003-09-25,0.0
2003-09-30,66.6667
2003-10-02,0.0
2003-10-03,20.0
2003-10-07,133.3333
2003-10-08,-7.1429
2003-10-09,-7.6923
2003-10-10,25.0
2003-10-13,-6.6667
2003-10-14,-7.1429
2003-10-15,7.6923
2003-10-16,-7.1429
2003-10-17,3.8462
2003-10-20,-11.1111
2003-10-21,-16.6667
2003-10-22,0.0
2003-10-23,0.0
2003-10-24,0.0
2003-10-27,0.0
2003-10-28,0.0
2003-10-29,0.0
2003-10-31,10.0
2003-11-03,-27.2727
2003-11-04,-12.5
2003-11-05,0.0
2003-11-06,0.0
2003-11-07,0.0
2003-11-10,0.0
2003-11-12,-14.2857
2003-11-13,-16.6667
2003-11-17,-20.0
2003-11-18,-12.5
2003-11-21,-27.8571
2003-11-24,-0.9901
2003-12-01,60.0
2003-12-09,-37.5
2003-12-19,20.0
2003-12-29,-8.3333
2003-12-31,9.0909
2004-01-22,-16.6667
2004-01-23,0.0
2004-01-27,-19.8
2004-01-29,24.6883
2004-02-09,2.0
2004-03-24,-60.7843
2004-03-25,149.5
2004-04-07,-47.8958
2004-04-13,-3.8462
2004-04-15,0.0
2004-04-27,20.0
2004-04-30,-16.6667
2004-05-10,-12.0
2004-05-18,0.0
2004-05-19,4.5455
2004-05-20,-0.8696
2004-05-24,31.1404
2004-05-25,-23.7458
2004-05-26,-12.2807
2004-05-27,12.5
2004-05-28,0.0
2004-06-01,0.0
2004-06-02,2.2222
2004-06-09,10.8696
2004-06-10,-1.9607999999999999
2004-06-14,-8.0
2004-06-17,6.5217
2004-06-23,0.0
2004-06-24,-4.0816
2004-06-25,0.0
2004-06-29,0.0
2004-07-01,6.383
2004-07-06,0.0
2004-07-08,0.0
2004-07-12,0.0
2004-07-13,-4.0
2004-07-16,4.1667
2004-07-20,0.0
2004-07-21,0.0
2004-07-22,0.0
2004-07-27,-4.0
2004-07-28,4.1667
2004-07-29,0.0
2004-07-30,0.0
2004-08-02,2.0
2004-08-04,0.0
2004-08-05,0.0
2004-08-09,0.0
