ticker,WTRG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.719
2000-01-04,-0.9317
2000-01-05,0.0
2000-01-06,-0.3135
2000-01-07,3.1447
2000-01-10,-1.2195
2000-01-11,3.0864
2000-01-12,0.0
2000-01-13,2.6946
2000-01-14,-1.4577
2000-01-18,0.5917
2000-01-19,0.5882
2000-01-20,0.5848
2000-01-21,-0.5814
2000-01-24,-0.2924
2000-01-25,1.173
2000-01-26,-2.8986
2000-01-27,-1.4925
2000-01-28,-0.303
2000-01-31,-2.4316
2000-02-01,-0.3115
2000-02-02,-1.5625
2000-02-03,-0.3175
2000-02-04,-2.2293
2000-02-07,-1.9544000000000001
2000-02-08,1.9933999999999998
2000-02-09,-0.3257
2000-02-10,-2.6144
2000-02-11,-1.7181
2000-02-14,-3.1034
2000-02-15,2.4911
2000-02-16,1.7361
2000-02-17,-1.0239
2000-02-18,-0.6897
2000-02-22,1.7361
2000-02-23,-1.0239
2000-02-24,-4.4828
2000-02-25,2.8881
2000-02-28,-0.3509
2000-02-29,4.2254
2000-03-01,-2.027
2000-03-02,1.7241
2000-03-03,-0.678
2000-03-06,0.3413
2000-03-07,-3.7415000000000003
2000-03-08,-3.1802
2000-03-09,-1.4599
2000-03-10,0.0
2000-03-13,0.0
2000-03-14,5.1852
2000-03-15,6.338
2000-03-16,0.0
2000-03-17,0.0
2000-03-20,-0.3311
2000-03-21,0.0
2000-03-22,-4.3189
2000-03-23,0.0
2000-03-24,3.4722
2000-03-27,-1.0067
2000-03-28,0.0
2000-03-29,-2.3729
2000-03-30,1.3889
2000-03-31,-0.6849
2000-04-03,0.0
2000-04-04,12.4138
2000-04-05,5.2147
2000-04-06,-2.9154999999999998
2000-04-07,8.1081
2000-04-10,1.1111
2000-04-11,1.9231
2000-04-12,-0.2695
2000-04-13,-1.6216
2000-04-14,2.4725
2000-04-17,0.8043
2000-04-18,1.5957
2000-04-19,0.5236
2000-04-20,-1.3021
2000-04-24,-0.2639
2000-04-25,1.0582
2000-04-26,0.7853
2000-04-27,-1.8182
2000-04-28,1.5873
2000-05-01,2.6042
2000-05-02,1.2690000000000001
2000-05-03,-5.5138
2000-05-04,0.5305
2000-05-05,2.9024
2000-05-08,-4.1026
2000-05-09,-1.6042999999999998
2000-05-10,-2.7174
2000-05-11,7.7877
2000-05-12,0.0
2000-05-15,-1.5666
2000-05-16,0.7958
2000-05-17,-5.2632
2000-05-18,0.2778
2000-05-19,-1.9391
2000-05-22,0.8475
