ticker,HLF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-12-16,5.1429
2004-12-17,-0.1359
2004-12-20,-0.6803
2004-12-21,6.8493
2004-12-22,2.2436
2004-12-23,3.4483
2004-12-27,-3.1515
2004-12-28,0.0
2004-12-29,-1.6896
2004-12-30,0.2546
2004-12-31,3.1746
2005-01-03,-1.3538000000000001
2005-01-04,-0.2495
2005-01-05,-2.439
2005-01-06,0.3205
2005-01-07,0.0
2005-01-10,2.2364
2005-01-11,-0.625
2005-01-12,-0.9434
2005-01-13,1.3333
2005-01-14,0.2506
2005-01-18,0.5
2005-01-19,0.4353
2005-01-20,-0.3096
2005-01-21,0.0
2005-01-24,0.0
2005-01-25,0.0
2005-01-26,-1.8634
2005-01-27,0.0
2005-01-28,0.0
2005-01-31,1.5823
2005-02-01,1.8692
2005-02-02,-1.3456000000000001
2005-02-03,-0.806
2005-02-04,0.625
2005-02-07,1.2422
2005-02-08,2.0245
2005-02-09,-1.1425
2005-02-10,0.4258
2005-02-11,-0.1817
2005-02-14,-3.5194
2005-02-15,-0.2516
2005-02-16,0.8827
2005-02-17,3.125
2005-02-18,0.0
2005-02-22,-0.6061
2005-02-23,-0.9146
2005-02-24,-1.8462
2005-02-25,-1.1912
2005-02-28,0.1269
2005-03-01,0.4436
2005-03-02,0.0
2005-03-03,-0.3155
2005-03-04,0.6329
2005-03-07,0.6289
2005-03-08,0.0
2005-03-09,0.9375
2005-03-10,-0.9907
2005-03-11,1.0006
2005-03-14,0.0
2005-03-15,-0.9288
2005-03-16,-0.0625
2005-03-17,0.0625
2005-03-18,0.375
2005-03-21,-0.0623
2005-03-22,-0.1246
2005-03-23,-0.811
2005-03-24,0.6289
2005-03-28,-1.5625
2005-03-29,-0.6349
2005-03-30,-1.5974
2005-03-31,-1.039
2005-04-01,-0.2625
2005-04-04,-0.1316
2005-04-05,-2.5033
2005-04-06,0.0
2005-04-07,0.0
2005-04-08,1.0811
2005-04-11,-0.2005
2005-04-12,-1.1386
2005-04-13,-0.813
2005-04-14,0.0683
2005-04-15,0.0
2005-04-18,0.0
2005-04-19,2.3891
2005-04-20,1.2
2005-04-21,0.4611
2005-04-22,-0.3279
2005-04-25,-0.3947
2005-04-26,-1.9815
2005-04-27,1.0782
2005-04-28,-0.6667
2005-04-29,1.3423
2005-05-02,-1.6556
2005-05-03,6.532
2005-05-04,1.0114
2005-05-05,2.1277
2005-05-06,-1.6543999999999999
2005-05-09,-0.3115
2005-05-10,0.1875
