ticker,EIDX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-20,36.0
2018-06-21,-5.1038
2018-06-22,-0.1823
2018-06-25,-7.3059
2018-06-26,-0.8867
2018-06-27,-0.0994
2018-06-28,-0.9453
2018-06-29,2.1597
2018-07-02,-0.0983
2018-07-03,2.6083
2018-07-05,4.5084
2018-07-06,3.2584
2018-07-09,1.1556
2018-07-10,-3.5149
2018-07-11,-4.5993
2018-07-12,1.432
2018-07-13,-2.2588
2018-07-16,5.0072
2018-07-17,-1.4214
2018-07-18,0.6512
2018-07-19,-0.6932
2018-07-20,-0.9772
2018-07-23,-2.6786
2018-07-24,-2.8971999999999998
2018-07-25,-5.0224
2018-07-26,0.4188
2018-07-27,-4.5881
2018-07-30,-5.0273
2018-07-31,-3.7399
2018-08-01,-4.7221
2018-08-02,6.2735
2018-08-03,-5.3129
2018-08-06,-5.2369
2018-08-07,-0.1316
2018-08-08,0.7905
2018-08-09,8.562100000000001
2018-08-10,-0.9031
2018-08-13,4.435
2018-08-14,5.4101
2018-08-15,-0.4967
2018-08-16,-5.4354
2018-08-17,6.4516
2018-08-20,2.9752
2018-08-21,1.5516
2018-08-22,-1.0011
2018-08-23,9.8457
2018-08-24,-1.9864000000000002
2018-08-27,-31.0924
2018-08-28,3.8737
2018-08-29,-3.9365
2018-08-30,-7.261
2018-08-31,-3.876
2018-09-04,-1.8548
2018-09-05,-1.8899
2018-09-06,1.2563
2018-09-07,-3.4739
2018-09-10,6.084
2018-09-11,0.1616
2018-09-12,7.0968
2018-09-13,-7.2289
2018-09-14,6.0877
2018-09-17,-2.9839
2018-09-18,-1.9716
2018-09-19,-7.9646
2018-09-20,-3.2343
2018-09-21,4.1554
2018-09-24,-3.7294
2018-09-25,-5.3153
2018-09-26,-5.6137
2018-09-27,0.4032
2018-09-28,0.2008
2018-10-01,-0.6012
2018-10-02,-1.3105
2018-10-03,-2.8601
2018-10-04,-2.103
2018-10-05,9.5596
2018-10-08,-1.6667
2018-10-09,-2.7916
2018-10-10,-1.2308
2018-10-11,-4.4652
2018-10-12,1.6303999999999998
2018-10-15,-0.2139
2018-10-16,0.5359
2018-10-17,-1.4925
2018-10-18,2.3810000000000002
2018-10-19,0.5285
2018-10-22,2.2082
2018-10-23,-0.823
2018-10-24,11.0996
2018-10-25,11.3912
2018-10-26,4.0235
2018-10-29,-4.8347999999999995
2018-10-30,-5.5885
2018-10-31,9.6861
2018-11-01,6.7048
2018-11-02,-1.7625
2018-11-05,2.9641
