ticker,AERI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-25,6.1
2013-10-28,-0.5655
2013-10-29,-0.1896
2013-10-30,-1.2346
2013-10-31,0.9615
2013-11-01,0.0
2013-11-04,3.0476
2013-11-05,6.3771
2013-11-06,-5.0391
2013-11-07,-4.6661
2013-11-08,4.5106
2013-11-11,-0.0918
2013-11-12,-1.9301
2013-11-13,-1.4995
2013-11-14,0.666
2013-11-15,1.1342
2013-11-18,-0.8411
2013-11-19,7.9171
2013-11-20,3.4061
2013-11-21,-2.027
2013-11-22,0.3448
2013-11-25,-3.3505
2013-11-26,-4.0889
2013-11-27,8.1557
2013-11-29,-3.599
2013-12-02,2.1333
2013-12-03,4.5257
2013-12-04,13.239
2013-12-05,5.5147
2013-12-06,6.9686
2013-12-09,4.2345
2013-12-10,-0.0625
2013-12-11,-6.6291
2013-12-12,0.134
2013-12-13,-4.6154
2013-12-16,3.7868
2013-12-17,6.2838
2013-12-18,2.225
2013-12-19,-0.995
2013-12-20,2.9523
2013-12-23,4.1794
2013-12-24,-0.5564
2013-12-26,-0.1178
2013-12-27,2.4764
2013-12-30,2.9344
2013-12-31,0.3913
2014-01-02,-3.8975999999999997
2014-01-03,1.5643
2014-01-06,3.4227
2014-01-07,4.4126
2014-01-08,-3.3281
2014-01-09,9.235
2014-01-10,-0.8504
2014-01-13,-2.7245
2014-01-14,6.2241
2014-01-15,4.7852
2014-01-16,-1.4910999999999999
2014-01-17,-2.0341
2014-01-21,1.014
2014-01-22,-3.2027
2014-01-23,-0.9383
2014-01-24,-6.7298
2014-01-27,-10.5291
2014-01-28,-5.8542
2014-01-29,6.1548
2014-01-30,7.0532
2014-01-31,3.0709
2014-02-03,-7.909
2014-02-04,0.4118
2014-02-05,0.3515
2014-02-06,4.9037
2014-02-07,5.5092
2014-02-10,-4.1139
2014-02-11,1.0451
2014-02-12,0.1089
2014-02-13,0.8157
2014-02-14,3.8834999999999997
2014-02-18,7.3728
2014-02-19,1.0638
2014-02-20,1.6745999999999999
2014-02-21,-0.9882
2014-02-24,-4.7529
2014-02-25,2.6447000000000003
2014-02-26,3.6947
2014-02-27,14.8148
2014-02-28,-6.2066
2014-03-03,1.7414
2014-03-04,6.6324
2014-03-05,-1.1236
2014-03-06,-8.4416
2014-03-07,-6.9149
2014-03-10,6.2381
2014-03-11,0.4482
2014-03-12,-2.2311
2014-03-13,-5.5226
2014-03-14,-3.3816
2014-03-17,3.9
2014-03-18,5.3417
2014-03-19,8.4057
