ticker,WLTW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-06-12,22.963
2001-06-13,-0.3012
2001-06-14,-2.1148
2001-06-15,1.5432000000000001
2001-06-18,3.5866
2001-06-19,1.8192
2001-06-20,2.5937
2001-06-21,0.0
2001-06-22,-1.7978
2001-06-25,0.9725
2001-06-26,-3.6827
2001-06-27,1.7647
2001-06-28,1.1561
2001-06-29,1.4285999999999999
2001-07-02,-1.4085
2001-07-03,-0.5714
2001-07-05,2.1264
2001-07-06,-0.2251
2001-07-09,-3.5533
2001-07-10,-1.1696
2001-07-11,2.071
2001-07-12,-2.2029
2001-07-13,2.2525
2001-07-16,0.5797
2001-07-17,0.0
2001-07-18,-1.1527
2001-07-19,-0.8746
2001-07-20,-0.2941
2001-07-23,0.0
2001-07-24,-3.2448
2001-07-25,-0.9146
2001-07-26,1.2923
2001-07-27,4.4957
2001-07-30,-1.1628
2001-07-31,1.4706000000000001
2001-08-01,0.1159
2001-08-02,-3.011
2001-08-03,5.3731
2001-08-06,1.983
2001-08-07,-2.7778
2001-08-08,0.2857
2001-08-09,-0.7977
2001-08-10,1.6657
2001-08-13,1.1864
2001-08-14,1.34
2001-08-15,0.551
2001-08-16,0.8767
2001-08-17,1.032
2001-08-20,4.8387
2001-08-21,-2.3077
2001-08-22,4.7244
2001-08-23,-1.2530999999999999
2001-08-24,-2.5381
2001-08-27,-1.0417
2001-08-28,0.0
2001-08-29,0.0
2001-08-30,-1.2105
2001-08-31,0.2131
2001-09-04,-0.8506
2001-09-05,-1.6086
2001-09-06,-2.1253
2001-09-07,-1.1136
2001-09-10,-0.9009
2001-09-17,9.375
2001-09-18,1.8182
2001-09-19,3.3163
2001-09-20,5.679
2001-09-21,-2.8037
2001-09-24,0.9615
2001-09-25,0.2381
2001-09-26,5.6532
2001-09-27,7.6888
2001-09-28,-2.3382
2001-10-01,-1.3254000000000001
2001-10-02,-1.6463999999999999
2001-10-03,2.2467
2001-10-04,-0.517
2001-10-05,1.5591
2001-10-08,-1.4072
2001-10-09,-0.519
2001-10-10,2.4348
2001-10-11,-0.2971
2001-10-12,-0.3831
2001-10-15,-2.5641
2001-10-16,-1.5351
2001-10-17,0.1782
2001-10-18,2.9791
2001-10-19,0.6045
2001-10-22,6.4378
2001-10-23,-0.2016
2001-10-24,-3.798
2001-10-25,1.806
2001-10-26,3.2178
2001-10-29,-0.0799
2001-10-30,-7.04
2001-10-31,0.2151
2001-11-01,0.0429
2001-11-02,3.0043
2001-11-05,2.0833
