ticker,MKGI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-07-07,0.0
2008-09-10,78.9474
2009-01-29,96.0784
2009-01-30,50.0
2009-02-05,8.3333
2009-02-12,0.0
2009-02-18,-7.6923
2009-04-08,0.0
2009-04-09,-6.3333
2009-04-17,10.3203
2009-04-27,0.0
2009-04-29,-8.0645
2009-05-01,10.526299999999999
2009-05-05,-11.1111
2009-05-06,-25.0
2009-05-07,7.1429
2009-05-08,8.8889
2009-05-11,-10.0
2009-05-12,-16.0998
2009-05-13,-2.7027
2009-05-14,-13.8889
2009-05-15,-21.2903
2009-05-18,35.2459
2009-05-19,17.5758
2009-05-20,-14.9485
2009-05-21,-2.4242
2009-05-26,17.3913
2009-05-27,-2.1164
2009-05-28,-5.4054
2009-05-29,-14.2857
2009-06-01,23.3333
2009-06-02,-5.9459
2009-06-03,-5.1724
2009-06-04,18.1818
2009-06-05,12.3077
2009-06-08,-0.4566
2009-06-09,0.4587
2009-06-10,-6.3927
2009-06-11,0.4878
2009-06-12,4.3689
2009-06-15,-1.8605
2009-06-16,1.8957000000000002
2009-06-17,0.0
2009-06-18,0.0
2009-06-19,2.3256
2009-06-22,2.2727
2009-06-23,-5.3333
2009-06-25,0.939
2009-06-26,1.8605
2009-06-29,-10.0457
2009-06-30,0.5076
2009-07-01,3.5354
2009-07-02,-4.878
2009-07-06,0.5128
2009-07-07,-3.0612
2009-07-08,5.2632
2009-07-09,6.0
2009-07-10,-0.9434
2009-07-13,-4.7619
2009-07-14,6.0
2009-07-15,-0.9434
2009-07-16,-2.3810000000000002
2009-07-17,1.9512
2009-07-20,-3.3493
2009-07-21,0.0
2009-07-23,-0.495
2009-07-24,-2.9851
2009-07-27,0.5128
2009-07-28,2.0408
2009-07-29,-1.0
2009-07-30,-1.5152
2009-07-31,0.0
2009-08-03,1.0256
2009-08-04,-5.0761
2009-08-05,1.6042999999999998
2009-08-06,5.2632
2009-08-07,2.0
2009-08-10,-8.8235
2009-08-11,-0.5376
2009-08-12,0.0
2009-08-13,-5.4054
2009-08-14,-8.5714
2009-08-17,0.625
2009-08-18,0.6211
2009-08-19,10.4938
2009-08-20,0.0
2009-08-24,11.7318
2009-08-25,-2.5
2009-08-26,0.0
2009-08-27,-5.1282
2009-08-31,0.0
2009-09-01,2.7027
2009-09-02,-21.0526
2009-09-03,-26.6667
2009-09-04,24.5455
2009-09-08,48.9051
2009-09-09,-9.3137
2009-09-10,-2.7027
2009-09-11,11.1111
2009-09-14,0.0
