ticker,FBHS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-09-19,8.5039
2011-09-20,-0.5806
2011-09-21,-2.1898
2011-09-22,-1.4925
2011-09-23,-7.197
2011-09-26,3.4286
2011-09-27,5.5249
2011-09-28,-3.8893
2011-09-29,2.4903
2011-09-30,-5.8466000000000005
2011-10-03,-0.8065
2011-10-04,0.0
2011-10-05,-0.813
2011-10-06,4.5902
2011-10-07,-3.2132
2011-10-10,0.1619
2011-10-11,0.8892
2011-10-12,0.9615
2011-10-13,0.1587
2011-10-14,3.0903
2011-10-17,5.4573
2011-10-18,5.5394
2011-10-19,4.0055
2011-10-20,-0.8632
2011-10-21,0.134
2011-10-24,5.6856
2011-10-25,-6.4557
2011-10-26,0.6766
2011-10-27,3.629
2011-10-28,-3.2425
2011-10-31,-2.6139
2011-11-01,0.9635
2011-11-02,2.7267
2011-11-03,-0.4645
2011-11-04,0.0
2011-11-07,-1.4
2011-11-08,2.0284
2011-11-09,-1.2591
2011-11-10,5.3690999999999995
2011-11-11,-2.8662
2011-11-14,-1.4426
2011-11-15,3.0605
2011-11-16,-2.9051
2011-11-17,3.258
2011-11-18,-0.1288
2011-11-21,-1.6118999999999999
2011-11-22,0.7208
2011-11-23,-0.3904
2011-11-25,0.9144
2011-11-28,3.3657
2011-11-29,0.2505
2011-11-30,4.1849
2011-12-01,-4.1367
2011-12-02,3.3146
2011-12-05,-0.4237
2011-12-06,0.1216
2011-12-07,-0.1214
2011-12-08,-0.2432
2011-12-09,3.6563
2011-12-12,-4.0564
2011-12-13,-3.3088
2011-12-14,1.2674
2011-12-15,-0.438
2011-12-16,-2.0113
2011-12-19,-1.6677
2011-12-20,2.7397
2011-12-21,2.8571
2011-12-22,1.5432000000000001
2011-12-23,1.5198
2011-12-27,-0.2994
2011-12-28,-1.5615999999999999
2011-12-29,1.5253
2011-12-30,2.3438
2012-01-03,-1.2331
2012-01-04,1.2485
2012-01-05,1.7616
2012-01-06,1.8465
2012-01-09,0.7365
2012-01-10,1.3498
2012-01-11,-0.222
2012-01-12,1.7241
2012-01-13,-0.3827
2012-01-17,-1.6465
2012-01-18,-0.6138
2012-01-19,1.6282999999999999
2012-01-20,-1.1602000000000001
2012-01-23,-0.6149
2012-01-24,0.4499
2012-01-25,0.224
2012-01-26,0.0559
2012-01-27,0.2233
2012-01-30,2.0613
2012-01-31,1.3646
2012-02-01,1.7231999999999998
2012-02-02,1.9058000000000002
2012-02-03,1.5584
2012-02-06,-3.6317
