ticker,TPH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-01-31,12.0588
2013-02-01,-0.2625
2013-02-04,-3.1579
2013-02-05,-1.1957
2013-02-06,-0.11
2013-02-07,1.5969
2013-02-08,1.0298
2013-02-11,2.0386
2013-02-12,-0.8412
2013-02-13,0.9014
2013-02-14,-0.3153
2013-02-15,-1.107
2013-02-19,-0.9062
2013-02-20,-3.3351
2013-02-21,0.3339
2013-02-22,0.1664
2013-02-25,0.7198
2013-02-26,0.4398
2013-02-27,1.2042
2013-02-28,-0.4867
2013-03-01,-0.5435
2013-03-04,-0.9836
2013-03-05,0.7726
2013-03-06,1.5882
2013-03-07,-1.0782
2013-03-08,3.7057
2013-03-11,1.3136999999999999
2013-03-12,-0.6743
2013-03-13,-0.9399
2013-03-14,0.4744
2013-03-15,-0.3673
2013-03-18,3.4229
2013-03-19,0.4582
2013-03-20,3.9534000000000002
2013-03-21,-2.7304
2013-03-22,-2.2055
2013-03-25,2.1527
2013-03-26,2.86
2013-03-27,-0.0976
2013-03-28,-1.6113
2013-04-01,-0.6452
2013-04-02,-1.3986
2013-04-03,-2.9382
2013-04-04,-0.6785
2013-04-05,1.8917000000000002
2013-04-08,1.0315
2013-04-09,0.3063
2013-04-10,-1.883
2013-04-11,-0.1037
2013-04-12,-0.0519
2013-04-15,-3.8961
2013-04-16,1.2432
2013-04-17,-0.1602
2013-04-18,0.2674
2013-04-19,0.0533
2013-04-22,0.4797
2013-04-23,2.9177999999999997
2013-04-24,0.2577
2013-04-25,0.874
2013-04-26,0.051
2013-04-29,-1.5792000000000002
2013-04-30,-1.6562999999999999
2013-05-01,-2.6316
2013-05-02,1.9459
2013-05-03,0.0
2013-05-06,0.6893
2013-05-07,0.5793
2013-05-08,-0.1047
2013-05-09,-1.9916
2013-05-10,0.9626
2013-05-13,-0.7945
2013-05-14,2.5093
2013-05-15,-1.0417
2013-05-16,-3.8947000000000003
2013-05-17,-0.0548
2013-05-20,-1.0411
2013-05-21,-0.1661
2013-05-22,-0.3882
2013-05-23,0.4454
2013-05-24,0.2217
2013-05-28,0.3319
2013-05-29,-4.5755
2013-05-30,-1.7330999999999999
2013-05-31,-0.9994
2013-06-03,0.4751
2013-06-04,-1.7139
2013-06-05,-1.2628
2013-06-06,-1.5225
2013-06-07,3.0921
2013-06-10,-0.4199
2013-06-11,1.1446
2013-06-12,-1.0721
2013-06-13,0.6623
2013-06-14,-0.6579
2013-06-17,-0.1204
2013-06-18,0.1206
