ticker,FLEX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.6303999999999998
2000-01-04,-9.2541
2000-01-05,-1.6743000000000001
2000-01-06,1.0836
2000-01-07,4.1348
2000-01-10,7.7941
2000-01-11,0.4093
2000-01-12,-4.0761
2000-01-13,-0.8499
2000-01-14,6.0
2000-01-18,-3.504
2000-01-19,0.5587
2000-01-20,3.8889
2000-01-21,17.3797
2000-01-24,5.5809
2000-01-25,-2.4811
2000-01-26,-2.1018
2000-01-27,-6.2147
2000-01-28,-1.6867
2000-01-31,-2.5735
2000-02-01,0.7547
2000-02-02,3.4956
2000-02-03,11.2183
2000-02-04,-2.359
2000-02-07,-0.0278
2000-02-08,2.4444
2000-02-09,4.9892
2000-02-10,-3.9256
2000-02-11,-3.7634
2000-02-14,-0.7821
2000-02-15,-2.7027
2000-02-16,1.9676
2000-02-17,-2.9512
2000-02-18,-0.9357
2000-02-22,8.6187
2000-02-23,8.4783
2000-02-24,-1.7786
2000-02-25,0.0765
2000-02-28,1.5291000000000001
2000-02-29,-2.2088
2000-03-01,-0.616
2000-03-02,7.3347
2000-03-03,5.486
2000-03-06,-3.2847
2000-03-07,2.4528
2000-03-08,-2.9466
2000-03-09,3.5103999999999997
2000-03-10,6.1411999999999995
2000-03-13,-5.3541
2000-03-14,-6.4781
2000-03-15,-3.8049
2000-03-16,1.7241
2000-03-17,3.0907
2000-03-20,-0.9671
2000-03-21,6.4453
2000-03-22,2.6606
2000-03-23,1.5192
2000-03-24,4.2254
2000-03-27,4.1385
2000-03-28,1.3788
2000-03-29,-7.04
2000-03-30,-8.5198
2000-03-31,6.0207
2000-04-03,-9.7604
2000-04-04,-5.3097
2000-04-05,2.1807
2000-04-06,2.2358000000000002
2000-04-07,3.1809
2000-04-10,-6.1657
2000-04-11,-5.1335
2000-04-12,-11.5801
2000-04-13,6.7013
2000-04-14,-8.6894
2000-04-17,13.5678
2000-04-18,5.1991
2000-04-19,10.8307
2000-04-20,4.4592
2000-04-24,-7.3568999999999996
2000-04-25,2.549
2000-04-26,0.0956
2000-04-27,5.4441
2000-04-28,1.8115999999999999
2000-05-01,-5.427
2000-05-02,-3.2926
2000-05-03,-8.9494
2000-05-04,-2.3504
2000-05-05,-4.5952
2000-05-08,-3.7843999999999998
2000-05-09,-3.4565
2000-05-10,-8.5185
2000-05-11,10.3914
2000-05-12,4.1565
2000-05-15,8.48
2000-05-16,-2.6237
2000-05-17,-3.7778
2000-05-18,-3.6952
