ticker,GLMD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-03-13,6.0
2014-03-14,2.376
2014-03-17,3.413
2014-03-18,0.5941
2014-03-19,-3.4777
2014-03-20,-8.7016
2014-03-21,0.8935
2014-03-24,-11.6605
2014-03-25,-3.6759
2014-03-26,-3.7294
2014-03-27,-1.5766
2014-03-28,1.968
2014-03-31,2.9623
2014-04-01,0.6975
2014-04-02,3.9827
2014-04-03,-6.5779
2014-04-04,-4.1889
2014-04-07,-6.6047
2014-04-08,-9.3625
2014-04-09,4.6154
2014-04-10,-5.2311
2014-04-11,5.409
2014-04-14,5.0473
2014-04-15,-5.3053
2014-04-16,-6.0254
2014-04-17,-3.4871
2014-04-21,3.38
2014-04-22,2.7057
2014-04-23,5.5982
2014-04-24,-3.8462
2014-04-25,-2.7027
2014-04-28,-4.3333
2014-04-29,-5.4588
2014-04-30,-1.1057
2014-05-01,2.6087
2014-05-02,-1.2107
2014-05-05,-0.7353
2014-05-06,-3.7037
2014-05-07,-4.8718
2014-05-08,-7.4528
2014-05-09,2.0824
2014-05-12,1.7118
2014-05-13,-0.1403
2014-05-14,-1.1254
2014-05-15,-4.6858
2014-05-16,-3.8748
2014-05-19,8.3721
2014-05-20,-4.8641
2014-05-21,4.812
2014-05-22,-3.5868
2014-05-23,-3.125
2014-05-27,2.1505
2014-05-28,0.1504
2014-05-29,2.2523
2014-05-30,-1.0279
2014-06-02,3.8576
2014-06-03,3.1429
2014-06-04,1.108
2014-06-05,2.7397
2014-06-06,1.8667
2014-06-09,-3.1414
2014-06-10,16.7568
2014-06-11,15.625
2014-06-12,-0.2002
2014-06-13,3.2096
2014-06-16,-3.3042
2014-06-17,0.7035
2014-06-18,-3.1936
2014-06-19,-5.1546
2014-06-20,-4.3478
2014-06-23,5.6818
2014-06-24,2.043
2014-06-25,0.2107
2014-06-26,3.0494
2014-06-27,0.9184
2014-06-30,-1.5167000000000002
2014-07-01,1.0267
2014-07-02,-1.4228
2014-07-03,-6.9072
2014-07-07,-3.433
2014-07-08,-10.6651
2014-07-09,1.6703999999999999
2014-07-10,1.1348
2014-07-11,3.2459
2014-07-14,0.9674
2014-07-15,2.3952
2014-07-16,-2.4561
2014-07-17,-6.8345
2014-07-18,-2.0592
2014-07-21,-3.9422
2014-07-22,2.8728
2014-07-23,1.0638
2014-07-24,-4.6053
2014-07-25,5.2414
2014-07-28,7.2084
2014-07-29,-1.7115
2014-07-30,-1.3682
2014-07-31,-0.1261
2014-08-01,-5.0505
