ticker,AXMP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-02-08,42.8571
2001-02-21,25.0
2001-03-02,20.0
2001-03-27,8.3333
2001-04-17,-35.3846
2001-04-18,7.1429
2001-04-19,2.2222
2001-04-24,-8.6957
2001-05-18,-71.4286
2001-05-21,83.3333
2001-05-22,9.0909
2001-05-24,0.0
2001-06-01,8.3333
2001-06-19,-38.4615
2001-06-29,-12.5
2001-08-13,-22.8571
2001-08-27,-7.4074
2001-09-05,0.0
2001-09-07,0.0
2001-09-10,40.0
2001-09-17,-28.5714
2001-09-21,-12.0
2001-09-26,-31.8182
2001-10-05,-26.6667
2002-01-28,218.1818
2002-03-28,-68.5714
2002-05-28,0.0
2002-06-21,0.0
2002-06-27,0.0
2002-07-25,363.6364
2002-08-16,-74.5098
2002-10-30,15.3846
2002-12-03,100.0
2002-12-13,-36.6667
2003-01-22,10.526299999999999
2003-01-23,-28.5714
2003-03-17,-3.3333
2003-03-24,251.7241
2003-03-25,-21.5686
2003-03-26,152.5
2003-03-27,13.8614
2003-03-28,39.1304
2003-03-31,-3.125
2003-04-01,0.0
2003-04-02,-20.0
2003-04-03,0.0
2003-04-08,-3.2258
2003-04-09,20.8333
2003-04-10,10.3448
2003-04-11,9.375
2003-04-17,-14.2857
2003-04-21,-6.6667
2003-04-23,3.5714
2003-04-24,1.3793
2003-04-28,19.0476
2003-04-29,1.7143000000000002
2003-04-30,1.1236
2003-05-01,-16.6667
2003-05-05,20.0
2003-05-06,19.4444
2003-05-07,4.6512
2003-05-08,-4.4444
2003-05-09,13.9535
2003-05-13,0.0
2003-05-14,-8.1633
2003-05-15,8.8889
2003-05-20,-10.2041
2003-05-21,-20.4545
2003-05-27,6.8571
2003-05-28,2.1390000000000002
2003-05-29,15.1832
2003-05-30,2.2727
2003-06-02,-15.5556
2003-06-03,0.5263
2003-06-09,15.1832
2003-06-10,9.0909
2003-06-11,41.6667
2003-06-12,33.8235
2003-06-13,4.3956
2003-06-16,-4.2105
2003-06-17,31.8681
2003-06-18,4.1667
2003-06-19,-3.2
2003-06-20,0.0
2003-06-23,-7.438
2003-06-24,-3.5714
2003-06-25,-6.4815
2003-06-26,-10.8911
2003-06-27,-1.1111
2003-06-30,1.1236
2003-07-01,7.7778
2003-07-02,9.2784
2003-07-03,1.3208
2003-07-07,-3.1657
2003-07-08,-5.7692
2003-07-09,6.1224
2003-07-10,-2.8846
2003-07-11,-8.5149
2003-07-14,-4.7619
2003-07-15,19.3182
