ticker,GTEH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-08-12,25.0
2014-08-13,-20.0
2014-08-18,0.0
2014-08-19,0.0
2014-08-20,15.0
2014-08-21,-26.087
2014-08-25,-11.7647
2014-08-26,-33.3333
2014-08-29,0.0
2014-09-03,-0.1875
2014-09-04,-19.8497
2014-09-05,11.25
2014-09-11,-10.1124
2014-09-12,25.0
2014-09-16,-20.0
2014-09-18,25.0
2014-09-22,-30.0
2014-09-24,14.2857
2014-09-25,-31.25
2014-09-29,30.9091
2014-09-30,0.0
2014-10-01,-6.9444
2014-10-09,4.4776
2014-10-15,0.0
2014-10-30,-14.2857
2014-11-03,8.3333
2014-11-04,-23.0769
2014-11-05,100.0
2014-11-06,-15.0
2014-11-07,5.8824
2014-11-10,11.1111
2014-11-11,10.0
2014-11-12,-18.1818
2014-11-13,-11.1111
2014-11-14,25.0
2014-11-17,0.0
2014-11-18,-10.0
2014-11-19,-6.6667
2014-11-20,1.1905000000000001
2014-11-21,5.8824
2014-11-24,-11.1111
2014-11-25,25.0
2014-11-26,0.0
2014-12-01,-24.0
2014-12-02,44.7368
2014-12-03,0.0
2014-12-04,0.0
2014-12-05,13.6364
2014-12-08,-28.8
2014-12-09,1.1236
2014-12-10,-0.1389
2014-12-12,-10.9875
2014-12-15,0.0
2014-12-16,-6.25
2014-12-17,0.0
2014-12-22,0.0
2014-12-24,33.3333
2014-12-26,0.0
2014-12-29,-5.0
2014-12-30,-5.0658
2014-12-31,10.8801
2015-01-02,-5.0
2015-01-05,0.0
2015-01-06,-3.1579
2015-01-07,8.6957
2015-01-08,0.0
2015-01-13,0.0
2015-01-14,-10.0
2015-01-23,10.0
2015-01-26,1.0101
2015-01-27,0.0
2015-01-28,1.0
2015-01-29,18.8119
2015-01-30,-8.3333
2015-02-02,-4.6591000000000005
2015-02-03,0.1192
2015-02-04,-4.7619
2015-02-05,8.8125
2015-02-06,-7.9839
2015-02-09,10.8614
2015-02-10,6.9257
2015-02-11,-10.6898
2015-02-13,13.0896
2015-02-17,-16.5798
2015-02-18,1.0
2015-02-19,-10.8911
2015-02-20,0.0
2015-02-23,-4.4444
2015-02-24,4.6512
2015-02-25,0.0
2015-02-27,-5.4167
2015-03-02,-5.8737
2015-03-09,-6.0062
2015-03-10,6.2241
2015-03-16,0.0
2015-03-17,0.0
2015-03-18,-12.3438
2015-03-20,13.8146
2015-03-24,-23.5709
2015-03-25,14.7541
2015-03-26,0.0
2015-03-27,0.0
2015-03-31,0.0
