ticker,SQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-11-19,45.2222
2015-11-20,-1.6832
2015-11-23,-5.6809
2015-11-24,-0.8251
2015-11-25,-0.9983
2015-11-27,1.2605
2015-11-30,-0.083
2015-12-01,-1.0796999999999999
2015-12-02,0.1679
2015-12-03,-0.0838
2015-12-04,1.0067
2015-12-07,2.6578
2015-12-08,-1.9417
2015-12-09,-1.0726
2015-12-10,0.5004
2015-12-11,-0.8299
2015-12-14,3.1799
2015-12-15,1.1354
2015-12-16,-1.6038000000000001
2015-12-17,0.4075
2015-12-18,0.1623
2015-12-21,-0.8104
2015-12-22,1.7974
2015-12-23,0.321
2015-12-24,0.8
2015-12-28,1.8254000000000001
2015-12-29,-0.7015
2015-12-30,0.314
2015-12-31,2.4257
2016-01-04,-7.1047
2016-01-05,-5.3454
2016-01-06,0.0869
2016-01-07,-3.125
2016-01-08,1.3441
2016-01-11,4.6861
2016-01-12,2.1115
2016-01-13,-3.9702
2016-01-14,-6.8045
2016-01-15,-5.0832
2016-01-19,-7.7897
2016-01-20,0.2112
2016-01-21,5.5847999999999995
2016-01-22,-1.6966
2016-01-25,-0.4061
2016-01-26,-2.7523
2016-01-27,-5.1363
2016-01-28,-3.4254
2016-01-29,0.3432
2016-02-01,-0.114
2016-02-02,-3.3105
2016-02-03,-0.4723
2016-02-04,5.5753
2016-02-05,-3.0337
2016-02-08,-3.0127
2016-02-09,2.9869
2016-02-10,3.0162
2016-02-11,-2.9279
2016-02-12,7.8886
2016-02-16,6.7742
2016-02-17,-0.9063
2016-02-18,1.4228
2016-02-19,-0.1002
2016-02-22,4.1123
2016-02-23,-6.4547
2016-02-24,1.8538000000000001
2016-02-25,3.7412
2016-02-26,0.5848
2016-02-29,1.1628
2016-03-01,2.682
2016-03-02,11.6604
2016-03-03,2.3392
2016-03-04,-1.9592
2016-03-07,2.0816
2016-03-08,-6.3622
2016-03-09,4.7909
2016-03-10,-6.0682
2016-03-11,-1.7699
2016-03-14,4.5946
2016-03-15,2.9285
2016-03-16,-0.6695
2016-03-17,0.674
2016-03-18,0.7531
2016-03-21,11.2957
2016-03-22,-2.5373
2016-03-23,-3.5987999999999998
2016-03-24,2.3034
2016-03-28,4.0373
2016-03-29,2.5373
2016-03-30,9.3159
2016-03-31,1.7309999999999999
2016-04-01,-6.9372
2016-04-04,0.4219
2016-04-05,-0.1401
2016-04-06,4.979
2016-04-07,-1.0688
2016-04-08,2.1607
2016-04-11,1.5202
2016-04-12,0.7813
