ticker,G US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-08-02,19.6429
2007-08-03,-5.9701
2007-08-06,2.7302
2007-08-07,5.068
2007-08-08,-2.9412000000000003
2007-08-09,-2.6061
2007-08-10,-2.3647
2007-08-13,-1.5295999999999998
2007-08-14,-3.6893000000000002
2007-08-15,-0.2688
2007-08-16,-3.841
2007-08-17,-1.8921000000000001
2007-08-20,3.7143
2007-08-21,0.6887
2007-08-22,6.9767
2007-08-23,4.6036
2007-08-24,3.4840999999999998
2007-08-27,-2.3627000000000002
2007-08-28,-1.6939
2007-08-29,0.0
2007-08-30,0.6154
2007-08-31,1.0398
2007-09-04,-3.0872
2007-09-05,-3.0606
2007-09-06,-1.0309
2007-09-07,-4.362
2007-09-10,-0.7488
2007-09-11,0.2058
2007-09-12,2.3272
2007-09-13,-1.3378
2007-09-14,-1.2881
2007-09-17,-1.1676
2007-09-18,1.2509000000000001
2007-09-19,1.2354
2007-09-20,-2.1695
2007-09-21,-2.4948
2007-09-24,-1.1372
2007-09-25,-1.5097
2007-09-26,5.3285
2007-09-27,10.7415
2007-09-28,6.0701
2007-10-01,4.3068
2007-10-02,-0.7353
2007-10-03,-1.3105
2007-10-04,0.4042
2007-10-05,-3.0477
2007-10-08,-2.6097
2007-10-09,-3.7759
2007-10-10,1.4557
2007-10-11,-1.1229
2007-10-12,3.5962
2007-10-15,-2.8624
2007-10-16,-1.1912
2007-10-17,2.4746
2007-10-18,-0.6811
2007-10-19,-0.4988
2007-10-22,-1.3784
2007-10-23,0.0635
2007-10-24,-3.3651
2007-10-25,0.0
2007-10-26,7.1616
2007-10-29,1.5941
2007-10-30,-2.1726
2007-10-31,-1.2955
2007-11-01,-2.875
2007-11-02,-3.0888
2007-11-05,2.988
2007-11-06,-4.4487
2007-11-07,-0.4723
2007-11-08,0.678
2007-11-09,-1.3468
2007-11-12,-4.0273
2007-11-13,10.2418
2007-11-14,-1.2258
2007-11-15,-2.2208
2007-11-16,-2.2712
2007-11-19,0.3418
2007-11-20,5.2452
2007-11-21,0.5178
2007-11-23,-2.4469
2007-11-26,-3.5644
2007-11-27,1.0951
2007-11-28,-4.6039
2007-11-29,2.1292
2007-11-30,-0.6254
2007-12-03,5.1748
2007-12-04,-7.3138
2007-12-05,1.5782
2007-12-06,-1.3418
2007-12-07,2.4338
2007-12-10,-1.188
2007-12-11,-0.1414
2007-12-12,-5.3116
2007-12-13,5.086
2007-12-14,1.9217
2007-12-17,-1.8855
2007-12-18,0.0
