ticker,SDSS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-03-24,25.0
2009-03-30,-20.0
2009-03-31,0.0
2009-04-03,0.5
2009-05-07,14.4279
2009-05-08,0.0
2009-05-11,-4.3478
2009-05-12,4.5455
2009-05-14,0.0
2009-05-18,-13.0435
2009-05-19,25.0
2009-05-20,-12.0
2009-05-21,4.5455
2009-05-22,-11.3043
2009-05-26,-1.9607999999999999
2009-05-27,-10.0
2009-05-28,38.8889
2009-05-29,8.0
2009-06-01,-3.7037
2009-06-02,-3.8462
2009-06-03,12.0
2009-06-04,21.4286
2009-06-05,0.0
2009-06-08,-5.8824
2009-06-09,6.25
2009-06-10,-2.9412000000000003
2009-06-11,-27.2727
2009-06-12,25.0
2009-06-15,11.6667
2009-06-16,-7.6119
2009-06-17,-0.1616
2009-06-18,-22.1278
2009-06-19,-0.0519
2009-06-22,21.4137
2009-06-23,-19.5205
2009-06-24,14.8936
2009-06-25,3.7037
2009-06-26,-17.8571
2009-06-29,17.3913
2009-06-30,-14.8148
2009-07-01,8.6957
2009-07-02,0.0
2009-07-06,2.0
2009-07-07,13.7255
2009-07-08,-17.2414
2009-07-09,-4.1667
2009-07-10,-8.2609
2009-07-13,0.0
2009-07-14,0.0
2009-07-15,-5.2133
2009-07-16,5.0
2009-07-17,0.0
2009-07-20,-4.7619
2009-07-21,0.0
2009-07-22,-10.0
2009-07-23,-11.1111
2009-07-24,0.625
2009-07-27,-13.0435
2009-07-28,0.0
2009-07-29,-3.5714
2009-07-30,-7.4074
2009-07-31,-4.0
2009-08-03,8.3333
2009-08-04,21.5385
2009-08-05,-11.3924
2009-08-06,0.0
2009-08-07,7.1429
2009-08-10,13.3333
2009-08-11,-5.8824
2009-08-12,6.25
2009-08-13,5.8824
2009-08-14,5.5556
2009-08-17,-15.7895
2009-08-18,18.125
2009-08-19,-4.7619
2009-08-20,0.0
2009-08-21,-5.5556
2009-08-24,0.0
2009-08-25,5.8824
2009-08-26,0.0
2009-08-27,5.5556
2009-08-28,10.526299999999999
2009-08-31,4.7619
2009-09-01,-9.0909
2009-09-02,0.0
2009-09-03,-10.0
2009-09-04,5.5556
2009-09-08,36.8421
2009-09-09,-13.461500000000001
2009-09-10,-6.6667
2009-09-11,-4.7619
2009-09-14,5.0
2009-09-15,-21.4286
2009-09-16,9.0909
2009-09-17,-16.6667
2009-09-18,30.0
2009-09-21,-12.8205
2009-09-22,-5.8824
2009-09-23,-3.125
2009-09-24,3.2258
2009-09-25,6.25
