ticker,CLDX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.3291
2000-01-04,-10.8108
2000-01-05,12.1212
2000-01-06,6.7568
2000-01-07,3.7975
2000-01-10,7.3171
2000-01-11,15.9091
2000-01-12,1.9607999999999999
2000-01-13,30.7692
2000-01-14,-8.8235
2000-01-18,3.2258
2000-01-19,1.5625
2000-01-20,23.0769
2000-01-21,12.5
2000-01-24,11.1111
2000-01-25,-4.0
2000-01-26,10.4167
2000-01-27,-5.6604
2000-01-28,-7.0
2000-01-31,-5.3763
2000-02-01,-1.1364
2000-02-02,0.0
2000-02-03,14.9425
2000-02-04,-1.5
2000-02-07,7.6142
2000-02-08,18.8679
2000-02-09,0.0
2000-02-10,14.2857
2000-02-11,2.7778
2000-02-14,-2.027
2000-02-15,-3.4483
2000-02-16,0.7143
2000-02-17,24.1135
2000-02-18,-4.0
2000-02-22,4.7619
2000-02-23,9.6591
2000-02-24,-5.1813
2000-02-25,-5.4645
2000-02-28,-0.578
2000-02-29,2.907
2000-03-01,18.0791
2000-03-02,9.5694
2000-03-03,1.31
2000-03-06,15.5172
2000-03-07,-12.6866
2000-03-08,3.4188
2000-03-09,-4.1322
2000-03-10,-0.431
2000-03-13,-8.2251
2000-03-14,-8.9623
2000-03-15,-11.9171
2000-03-16,-1.1764999999999999
2000-03-17,14.2857
2000-03-20,-9.375
2000-03-21,-18.3908
2000-03-22,16.9014
2000-03-23,-4.2169
2000-03-24,7.2327
2000-03-27,-1.4663
2000-03-28,-9.5238
2000-03-29,-5.9211
2000-03-30,-10.4895
2000-03-31,18.75
2000-04-03,-2.6316
2000-04-04,-10.1351
2000-04-05,1.5038
2000-04-06,5.9259
2000-04-07,-3.4965
2000-04-10,-0.7246
2000-04-11,-6.5693
2000-04-12,-15.625
2000-04-13,3.7037
2000-04-14,-28.5714
2000-04-17,25.625
2000-04-18,9.4527
2000-04-19,5.4545
2000-04-20,-3.4483
2000-04-24,-14.2857
2000-04-25,16.6667
2000-04-26,-8.9286
2000-04-27,0.0
2000-04-28,7.8431
2000-05-01,9.0909
2000-05-02,-5.0
2000-05-03,-7.8947
2000-05-04,-3.8095
2000-05-05,7.9208
2000-05-08,-5.5046
2000-05-09,-5.8252
2000-05-10,-1.5464
2000-05-11,9.9476
2000-05-12,0.9524
2000-05-15,3.7736
2000-05-16,-3.6364
2000-05-17,-7.5472
2000-05-18,-0.7653
2000-05-19,-4.3702
2000-05-22,-5.3763
2000-05-23,-4.5455
