ticker,ACLS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-07-11,8.806799999999999
2000-07-12,8.094
2000-07-13,-1.4493
2000-07-14,-1.2255
2000-07-17,-4.2184
2000-07-18,4.6632
2000-07-19,-4.9505
2000-07-20,-3.6458
2000-07-21,-16.4865
2000-07-24,-12.6214
2000-07-25,9.6296
2000-07-26,0.0
2000-07-27,-10.473
2000-07-28,-7.1698
2000-07-31,20.3252
2000-08-01,-10.1351
2000-08-02,-0.7519
2000-08-03,-2.2727
2000-08-04,1.5504
2000-08-07,2.2901
2000-08-08,-7.0896
2000-08-09,-2.4096
2000-08-10,-2.4691
2000-08-11,-2.1097
2000-08-14,6.4655000000000005
2000-08-15,16.1943
2000-08-16,-1.0453
2000-08-17,4.5775
2000-08-18,-1.0101
2000-08-21,3.0612
2000-08-22,1.9802
2000-08-23,-2.9126
2000-08-24,6.3333
2000-08-25,-2.8213
2000-08-28,-3.871
2000-08-29,2.6846
2000-08-30,-4.2484
2000-08-31,-1.3652
2000-09-01,2.4221
2000-09-05,-3.3784
2000-09-06,-5.5944
2000-09-07,10.7407
2000-09-08,-7.0234
2000-09-11,-3.5971
2000-09-12,-4.8507
2000-09-13,-1.1764999999999999
2000-09-14,3.9683
2000-09-15,-5.3435
2000-09-18,-3.2258
2000-09-19,-0.4167
2000-09-20,-5.0209
2000-09-21,-9.2511
2000-09-22,-7.2816
2000-09-25,3.1414
2000-09-26,-5.5838
2000-09-27,2.6882
2000-09-28,-1.5707
2000-09-29,1.0638
2000-10-02,-5.7895
2000-10-03,-4.4693
2000-10-04,2.924
2000-10-05,-10.2273
2000-10-06,-7.5949
2000-10-09,-6.1644
2000-10-10,-10.9489
2000-10-11,4.918
2000-10-12,7.0313
2000-10-13,18.2482
2000-10-16,2.4691
2000-10-17,-15.6627
2000-10-18,0.7143
2000-10-19,7.8014
2000-10-20,13.1579
2000-10-23,0.5814
2000-10-24,-5.7803
2000-10-25,-4.2945
2000-10-26,4.4872
2000-10-27,-2.454
2000-10-30,0.6289
2000-10-31,7.5
2000-11-01,-1.1628
2000-11-02,-1.1764999999999999
2000-11-03,-2.3810000000000002
2000-11-06,1.8293
2000-11-07,-1.7964
2000-11-08,-4.2683
2000-11-09,-1.9108
2000-11-10,-8.4416
2000-11-13,-7.8014
2000-11-14,4.6154
2000-11-15,0.3676
2000-11-16,-6.2271
2000-11-17,-3.125
2000-11-20,6.4516
2000-11-21,-0.3788
2000-11-22,-1.9011
2000-11-24,3.876
