ticker,MLHR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.8043
2000-01-04,-1.6949
2000-01-05,1.7241
2000-01-06,-3.3898
2000-01-07,4.9708
2000-01-10,2.2284
2000-01-11,-7.3568999999999996
2000-01-12,-1.0294
2000-01-13,4.9033999999999995
2000-01-14,-1.6997
2000-01-18,1.7290999999999999
2000-01-19,-1.1331
2000-01-20,1.0029
2000-01-21,-0.1418
2000-01-24,-3.125
2000-01-25,-2.0528
2000-01-26,2.3952
2000-01-27,2.924
2000-01-28,-1.1364
2000-01-31,0.2874
2000-02-01,0.0
2000-02-02,1.1461000000000001
2000-02-03,1.6997
2000-02-04,-1.8106
2000-02-07,-0.1418
2000-02-08,0.0
2000-02-09,0.2841
2000-02-10,-2.5496
2000-02-11,-1.1628
2000-02-14,0.5882
2000-02-15,0.8772
2000-02-16,-0.8696
2000-02-17,0.2924
2000-02-18,-2.6239
2000-02-22,-2.6946
2000-02-23,-0.3077
2000-02-24,-0.6173
2000-02-25,0.9317
2000-02-28,2.1538
2000-02-29,-1.2048
2000-03-01,4.4451
2000-03-02,-4.9708
2000-03-03,1.8462
2000-03-06,-3.9275
2000-03-07,0.6289
2000-03-08,-0.625
2000-03-09,5.6604
2000-03-10,-1.7856999999999998
2000-03-13,-3.0303
2000-03-14,-0.3125
2000-03-15,15.047
2000-03-16,6.267
2000-03-17,1.0256
2000-03-20,-9.1371
2000-03-21,7.2626
2000-03-22,6.7708
2000-03-23,0.9756
2000-03-24,0.4831
2000-03-27,2.1635
2000-03-28,-7.0588
2000-03-29,8.6076
2000-03-30,2.0979
2000-03-31,2.2831
2000-04-03,-3.5714
2000-04-04,-0.2315
2000-04-05,-1.1601
2000-04-06,-1.6432
2000-04-07,0.179
2000-04-10,-7.0876
2000-04-11,0.2564
2000-04-12,9.7187
2000-04-13,-1.6317
2000-04-14,-9.9526
2000-04-17,10.0
2000-04-18,-3.3493
2000-04-19,0.495
2000-04-20,3.4483
2000-04-24,3.5714
2000-04-25,1.1494
2000-04-26,-2.0455
2000-04-27,-0.9281
2000-04-28,2.5761
2000-05-01,5.2511
2000-05-02,-3.9046
2000-05-03,1.1287
2000-05-04,0.4464
2000-05-05,5.7778
2000-05-08,-6.5126
2000-05-09,4.4944
2000-05-10,-5.5914
2000-05-11,5.6948
2000-05-12,-1.0776
2000-05-15,1.3072
2000-05-16,-0.8602
2000-05-17,-0.8677
2000-05-18,-3.9387
2000-05-19,0.6834
2000-05-22,-0.4525
