ticker,NORNQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-05-14,10.0
2010-05-17,0.2273
2010-05-18,-0.7937
2010-05-19,-1.3714
2010-05-20,-11.2399
2010-05-21,2.0888
2010-05-24,3.1969
2010-05-25,-0.9913
2010-05-26,0.3755
2010-05-27,3.4913
2010-05-28,3.4939999999999998
2010-06-01,-0.8149
2010-06-02,0.2347
2010-06-03,-1.2881
2010-06-04,-9.134
2010-06-07,-7.8329
2010-06-08,1.983
2010-06-09,2.3611
2010-06-10,5.5631
2010-06-11,-0.6427
2010-06-14,-1.8111000000000002
2010-06-15,1.8445
2010-06-16,-0.2587
2010-06-17,0.5188
2010-06-18,0.7742
2010-06-21,1.6644999999999999
2010-06-22,-2.267
2010-06-23,0.3866
2010-06-24,-0.8986
2010-06-25,-2.8497
2010-06-28,0.5333
2010-06-29,-8.7533
2010-06-30,-6.5407
2010-07-01,0.4666
2010-07-02,-4.1796
2010-07-06,3.8772
2010-07-07,2.4883
2010-07-08,0.607
2010-07-09,0.1508
2010-07-12,-2.8614
2010-07-13,2.1705
2010-07-14,-2.1244
2010-07-15,-2.1705
2010-07-16,-2.8526
2010-07-19,-0.8157
2010-07-20,2.7961
2010-07-21,-4.48
2010-07-22,11.8928
2010-07-23,4.6407
2010-07-26,3.7196
2010-07-27,3.3103
2010-07-28,1.0681
2010-07-29,1.9815
2010-07-30,2.5907
2010-08-02,1.5152
2010-08-03,1.4925
2010-08-04,4.1667
2010-08-05,-1.6471
2010-08-06,-2.2727
2010-08-09,1.7136
2010-08-10,-6.4982
2010-08-11,-8.8803
2010-08-12,-0.2825
2010-08-13,-3.3994
2010-08-16,5.5718
2010-08-17,3.1944
2010-08-18,4.0377
2010-08-19,0.3881
2010-08-20,0.2577
2010-08-23,-3.0848
2010-08-24,-7.5597
2010-08-25,8.3214
2010-08-26,2.3841
2010-08-27,5.6921
2010-08-30,-2.2032
2010-08-31,-0.2503
2010-09-01,2.133
2010-09-02,-0.3686
2010-09-03,1.3564
2010-09-07,0.0
2010-09-08,0.2433
2010-09-09,-1.6989999999999998
2010-09-10,-1.2346
2010-09-13,1.25
2010-09-14,3.0864
2010-09-15,1.5569
2010-09-16,0.0
2010-09-17,-1.2972000000000001
2010-09-20,1.9116
2010-09-21,-2.4619
2010-09-22,1.6827
2010-09-23,-2.8369
2010-09-24,2.4331
2010-09-27,-0.5938
2010-09-28,0.1195
2010-09-29,-0.4773
2010-09-30,-1.4388
2010-10-01,2.1898
