ticker,JHAA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-12-20,0.1289
2018-12-21,0.7884
2018-12-24,2.9805
2018-12-26,-1.25
2018-12-28,5.7449
2018-12-31,-0.0921
2019-01-02,-3.0415
2019-01-03,0.0
2019-01-04,-3.9924
2019-01-07,1.7822
2019-01-08,0.8696
2019-01-09,-1.923
2019-01-10,1.4748999999999999
2019-01-11,-0.1938
2019-01-14,1.9417
2019-01-15,-1.4285999999999999
2019-01-16,0.4831
2019-01-18,-1.1413
2019-01-22,-0.2072
2019-01-23,-0.6813
2019-01-24,2.0598
2019-01-25,0.0
2019-01-28,3.5577
2019-01-29,-2.0427
2019-01-30,-0.4739
2019-01-31,-0.0952
2019-02-01,2.4786
2019-02-04,-2.3256
2019-02-05,0.0
2019-02-06,-1.1429
2019-02-07,0.0963
2019-02-08,0.2887
2019-02-11,-0.1919
2019-02-12,0.9615
2019-02-13,-0.001
2019-02-14,0.401
2019-02-15,-0.2002
2019-02-19,-1.5178
2019-02-20,0.872
2019-02-22,0.0
2019-02-25,0.0
2019-02-26,-2.2192
2019-02-27,0.5723
2019-02-28,0.221
2019-03-01,0.2927
2019-03-04,0.1946
2019-03-05,-1.4553
2019-03-06,0.4916
2019-03-08,0.1912
2019-03-11,0.6448
2019-03-12,-2.7748
2019-03-13,1.0
2019-03-14,1.0099
2019-03-15,-1.4778
2019-03-18,1.5
2019-03-19,0.0
2019-03-20,1.5764
2019-03-21,-0.194
2019-03-22,-0.0972
2019-03-25,-1.2646
2019-03-26,0.4828
2019-03-27,0.4991
2019-03-28,0.1912
2019-03-29,-0.6164
2019-04-01,0.919
2019-04-02,-0.4233
2019-04-03,0.4251
2019-04-04,-0.6806
2019-04-05,0.001
2019-04-08,0.6843
2019-04-10,0.6282
2019-04-11,0.1476
2019-04-12,0.0279
2019-04-15,0.1849
2019-04-16,-0.4831
2019-04-17,-0.5437
2019-04-18,-1.4057
2019-04-22,-0.9901
2019-04-23,1.766
2019-04-24,-0.1788
2019-04-25,0.3101
2019-04-26,-0.8822
2019-04-29,0.8406
2019-04-30,-0.0746
2019-05-01,1.1074
2019-05-02,0.9718
2019-05-03,-0.3927
2019-05-06,-1.1518
2019-05-07,-1.3195999999999999
2019-05-08,0.2734
2019-05-09,-1.1124
2019-05-10,0.5994
2019-05-13,-0.6951
2019-05-14,0.52
2019-05-15,-0.1
2019-05-16,0.5506
2019-05-17,-0.8074
2019-05-20,0.2619
2019-05-21,0.0751
2019-05-22,0.4301
