ticker,MFH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-04-08,2.85
2015-04-09,2.0904
2015-04-10,0.9524
2015-04-13,-0.3774
2015-04-14,-3.5038
2015-04-15,-0.3925
2015-04-16,-0.197
2015-04-17,-9.5755
2015-04-20,0.4367
2015-04-21,0.9783
2015-04-22,-9.4726
2015-04-23,5.113
2015-04-24,5.7692
2015-04-27,0.5348
2015-04-28,-0.3191
2015-04-29,-4.1622
2015-04-30,-0.3341
2015-05-01,-0.5587
2015-05-04,-6.7416
2015-05-05,2.1672
2015-05-06,-2.9467
2015-05-07,3.2807
2015-05-08,4.4706
2015-05-11,-0.2266
2015-05-12,-4.1747
2015-05-13,-1.1484
2015-05-14,4.1406
2015-05-15,-3.3181
2015-05-18,-2.3669000000000002
2015-05-19,0.3636
2015-05-20,-2.1739
2015-05-21,1.1111
2015-05-22,1.0989
2015-05-26,-1.8115999999999999
2015-05-27,-0.738
2015-05-28,1.8587
2015-05-29,-0.2433
2015-06-01,4.6341
2015-06-02,13.5198
2015-06-03,6.7762
2015-06-04,15.288499999999999
2015-06-05,-8.3403
2015-06-08,-5.4595
2015-06-09,-8.9509
2015-06-10,4.4397
2015-06-11,-0.6073
2015-06-12,4.888
2015-06-15,-5.824
2015-06-16,-3.1971
2015-06-17,0.9585
2015-06-18,-0.3165
2015-06-19,-1.164
2015-06-22,-5.2463
2015-06-23,3.8418
2015-06-24,0.5441
2015-06-25,-0.8658
2015-06-26,-3.4934
2015-06-29,-5.3167
2015-06-30,-4.3011
2015-07-01,3.7453
2015-07-02,-0.4813
2015-07-06,-1.6928999999999998
2015-07-07,-24.1082
2015-07-08,-13.128
2015-07-09,7.8358
2015-07-10,3.1142
2015-07-13,3.1879
2015-07-14,3.0894
2015-07-15,-6.6246
2015-07-16,4.5608
2015-07-17,-1.454
2015-07-20,-1.6393
2015-07-21,-0.5
2015-07-22,-3.5197000000000003
2015-07-23,-2.2548
2015-07-24,-4.0853
2015-07-27,-11.6667
2015-07-28,-3.7736
2015-07-29,-1.7402
2015-07-30,-3.1069
2015-07-31,-3.4325
2015-08-03,-0.4739
2015-08-04,1.1905000000000001
2015-08-05,7.5294
2015-08-06,6.1269
2015-08-07,9.4845
2015-08-10,17.8908
2015-08-11,-2.2364
2015-08-12,-1.9607999999999999
2015-08-13,-4.0
2015-08-14,-1.0417
2015-08-17,3.8596
2015-08-18,25.0
2015-08-19,7.027
2015-08-20,2.0202
2015-08-21,-12.995
2015-08-24,-16.074
