ticker,MYOK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-10-29,5.3
2015-10-30,-3.0389
2015-11-02,2.2527
2015-11-03,-2.7778
2015-11-04,-0.8867
2015-11-05,-1.6899
2015-11-06,0.7078
2015-11-09,-1.1044
2015-11-10,0.4061
2015-11-11,10.4146
2015-11-12,-0.4579
2015-11-13,-2.1159
2015-11-16,0.8459
2015-11-17,2.2367
2015-11-18,2.1878
2015-11-19,8.5638
2015-11-20,-2.7938
2015-11-23,6.5089
2015-11-24,-1.5079
2015-11-25,2.5786
2015-11-27,-2.5923
2015-11-30,-0.2419
2015-12-01,1.0509
2015-12-02,-1.04
2015-12-03,1.4551
2015-12-04,1.6733
2015-12-07,6.5047
2015-12-08,-0.2943
2015-12-09,-5.6827
2015-12-10,0.313
2015-12-11,-2.6521
2015-12-14,-9.9359
2015-12-15,-3.3808
2015-12-16,4.9724
2015-12-17,10.614
2015-12-18,7.2165
2015-12-21,9.4675
2015-12-22,-4.7973
2015-12-23,4.5422
2015-12-24,2.6477
2015-12-28,-1.1905000000000001
2015-12-29,7.3628
2015-12-30,-0.6858
2015-12-31,-7.9724
2016-01-04,-3.1378
2016-01-05,1.1972
2016-01-06,-2.5747999999999998
2016-01-07,-4.5714
2016-01-08,-0.6737
2016-01-11,-1.2057
2016-01-12,-1.7544
2016-01-13,-6.5994
2016-01-14,-9.4763
2016-01-15,-0.7346
2016-01-19,-3.8853
2016-01-20,-5.3898
2016-01-21,-6.2055
2016-01-22,-1.3014999999999999
2016-01-25,-1.0989
2016-01-26,4.3333
2016-01-27,-2.7689
2016-01-28,-1.4239
2016-01-29,0.0
2016-02-01,-0.8889
2016-02-02,1.7936999999999999
2016-02-03,-7.1586
2016-02-04,0.949
2016-02-05,-2.9377
2016-02-08,-11.0169
2016-02-09,-1.0884
2016-02-10,-5.6396
2016-02-11,-1.312
2016-02-12,0.1477
2016-02-16,-0.7375
2016-02-17,3.1204
2016-02-18,4.8991
2016-02-19,3.8462
2016-02-22,-0.2646
2016-02-23,-4.7745
2016-02-24,-0.2786
2016-02-25,-0.1397
2016-02-26,-1.1189
2016-02-29,0.4243
2016-03-01,1.831
2016-03-02,-0.6916
2016-03-03,4.7354
2016-03-04,0.133
2016-03-07,-1.7264
2016-03-08,2.1622
2016-03-09,0.6614
2016-03-10,2.4967
2016-03-11,10.8974
2016-03-14,5.7803
2016-03-15,-0.5464
2016-03-16,-0.3297
2016-03-17,1.8742999999999999
2016-03-18,0.8658
