ticker,ESYL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-27,-0.6289
2006-11-28,-5.0633
2006-11-29,-14.6667
2006-11-30,-10.1563
2006-12-04,15.6522
2006-12-14,-6.015
2006-12-15,0.0
2006-12-18,2.4
2006-12-19,5.4688
2006-12-20,-5.9259
2006-12-21,2.3622
2006-12-22,0.0
2006-12-26,0.0
2006-12-27,1.5385
2006-12-28,-1.5152
2006-12-29,8.461500000000001
2007-01-03,-5.6738
2007-01-04,0.7519
2007-01-05,-5.9701
2007-01-08,-10.3175
2007-01-09,7.9646
2007-01-10,12.2951
2007-01-11,0.0
2007-01-12,-0.7299
2007-01-16,-6.6176
2007-01-17,-5.5118
2007-01-18,7.5
2007-01-19,-7.7519
2007-01-22,2.521
2007-01-23,0.0
2007-01-24,-16.3934
2007-01-25,2.9412000000000003
2007-01-26,-1.9048
2007-01-29,-12.6214
2007-01-30,10.0
2007-01-31,0.0
2007-02-01,0.0
2007-02-02,8.0808
2007-02-05,-1.8692
2007-02-06,0.0
2007-02-07,-4.7619
2007-02-08,0.0
2007-02-09,-3.0
2007-02-12,-4.6392
2007-02-13,-8.1081
2007-02-14,22.352899999999998
2007-02-15,-8.6538
2007-02-16,7.3684
2007-02-20,-0.9804
2007-02-21,-2.9703
2007-02-22,-8.1633
2007-02-23,15.5556
2007-02-26,0.9615
2007-02-27,0.9524
2007-02-28,-2.8302
2007-03-01,4.8544
2007-03-02,-0.9259
2007-03-05,-5.6075
2007-03-06,-5.9406
2007-03-07,6.3158
2007-03-08,3.9604
2007-03-09,-3.8095
2007-03-12,0.0
2007-03-13,2.9703
2007-03-14,-2.8846
2007-03-15,-0.9901
2007-03-16,1.0
2007-03-19,-2.4752
2007-03-20,-11.7766
2007-03-21,-3.3372
2007-03-22,0.0
2007-03-23,4.7619
2007-03-26,9.0909
2007-03-27,3.125
2007-03-28,-9.0909
2007-03-29,-6.1111
2007-03-30,3.5503
2007-04-02,-9.7143
2007-04-03,-11.5032
2007-04-04,24.4413
2007-04-05,-1.1494
2007-04-09,-1.1628
2007-04-10,-3.5294
2007-04-11,-2.439
2007-04-12,-3.75
2007-04-13,7.7922
2007-04-16,-3.6145
2007-04-17,-6.25
2007-04-18,1.3333
2007-04-19,-2.6316
2007-04-20,9.4595
2007-04-23,-11.1111
2007-04-24,-5.5556
2007-04-25,-7.3529
2007-04-26,3.1746
2007-04-27,-15.3846
2007-04-30,-14.5455
2007-05-01,4.2553
2007-05-02,-4.0816
