ticker,ORA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-11-11,4.4667
2004-11-12,2.425
2004-11-15,0.0
2004-11-16,-2.4922
2004-11-17,1.5974
2004-11-18,-0.6289
2004-11-19,0.6329
2004-11-22,1.4465
2004-11-23,-0.496
2004-11-24,5.9190000000000005
2004-11-26,6.4706
2004-11-29,-1.105
2004-11-30,-4.7486
2004-12-01,4.1056
2004-12-02,-2.2535
2004-12-03,-0.2882
2004-12-06,-2.2543
2004-12-07,-2.5429
2004-12-08,2.0024
2004-12-09,1.7252
2004-12-10,0.2924
2004-12-13,1.3994
2004-12-14,2.6452
2004-12-15,2.521
2004-12-16,-1.9125999999999999
2004-12-17,-3.8997
2004-12-20,0.8696
2004-12-21,-2.6437
2004-12-22,2.7155
2004-12-23,0.4023
2004-12-27,-1.6600000000000001
2004-12-28,0.1746
2004-12-29,-0.6392
2004-12-30,-1.462
2004-12-31,-3.3828
2005-01-03,-4.2383
2005-01-04,1.4753
2005-01-05,0.2528
2005-01-06,-1.0088
2005-01-07,0.2548
2005-01-10,1.9695
2005-01-11,-1.5575999999999999
2005-01-12,0.5063
2005-01-13,-2.33
2005-01-14,0.9671
2005-01-18,0.894
2005-01-19,-0.0633
2005-01-20,-0.6966
2005-01-21,-0.6378
2005-01-24,0.5777
2005-01-25,1.404
2005-01-26,0.1888
2005-01-27,-0.4397
2005-01-28,0.0631
2005-01-31,0.2522
2005-02-01,-0.0629
2005-02-02,-0.3147
2005-02-03,-0.7576
2005-02-04,-1.0178
2005-02-07,1.2211
2005-02-08,1.2698
2005-02-09,0.9404
2005-02-10,-2.1739
2005-02-11,-0.9524
2005-02-14,2.9487
2005-02-15,0.8717
2005-02-16,-0.5556
2005-02-17,-1.9243000000000001
2005-02-18,-0.2532
2005-02-22,-2.7919
2005-02-23,0.0
2005-02-24,0.5875
2005-02-25,0.584
2005-02-28,0.129
2005-03-01,0.0644
2005-03-02,-0.1288
2005-03-03,0.1934
2005-03-04,1.9304999999999999
2005-03-07,0.0631
2005-03-08,-0.6309
2005-03-09,-0.5079
2005-03-10,-2.7441
2005-03-11,1.1155
2005-03-14,-0.2596
2005-03-15,-0.3904
2005-03-16,-2.1555
2005-03-17,2.8037
2005-03-18,2.9221
2005-03-21,-1.1987
2005-03-22,-0.894
2005-03-23,-0.451
2005-03-24,-0.3236
2005-03-28,0.0
2005-03-29,-0.8442
2005-03-30,1.8991
2005-03-31,0.8355
2005-04-01,0.1916
2005-04-04,1.0835
