ticker,PHUN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-11-08,0.2024
2016-11-11,-0.202
2016-11-18,0.3036
2016-11-23,0.4036
2016-12-01,0.5025
2016-12-06,-0.9
2016-12-07,-0.1009
2016-12-14,0.5051
2016-12-15,-0.5025
2016-12-16,0.5051
2016-12-21,0.5025
2016-12-28,0.0
2017-01-04,0.0
2017-01-05,0.2
2017-01-09,0.0998
2017-01-10,-0.1994
2017-01-25,1.4985
2017-01-31,-1.4764
2017-02-03,0.0
2017-02-23,-0.0999
2017-03-08,1.2
2017-03-09,0.5929
2017-03-13,0.0
2017-03-15,0.1965
2017-03-22,0.0
2017-03-23,0.0
2017-03-29,0.0
2017-03-30,-0.1961
2017-04-05,-0.0982
2017-04-06,0.295
2017-04-07,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-20,0.0
2017-04-27,-0.098
2017-05-24,-1.8646
2017-05-25,0.3
2017-06-06,0.0
2017-06-15,-0.0997
2017-06-16,-0.0998
2017-06-19,-0.0999
2017-06-20,0.5
2017-06-22,0.0
2017-06-26,-0.4965
2017-06-27,0.399
2017-06-28,0.6972
2017-06-29,-0.6251
2017-07-03,0.5295
2017-07-07,0.0
2017-07-11,-0.9901
2017-07-12,0.7
2017-07-13,-0.0993
2017-07-14,0.0
2017-07-17,-0.0994
2017-07-24,-0.4975
2017-07-31,0.4
2017-08-02,-0.3984
2017-08-03,0.5
2017-08-15,0.2985
2017-08-16,0.1984
2017-08-17,0.2059
2017-08-18,0.7825
2017-08-21,0.0951
2017-08-22,-0.095
2017-08-25,-0.2941
2017-08-28,0.4916
2017-08-31,0.5871
2017-09-01,-0.3891
2017-09-05,-0.1953
2017-09-07,-1.1262
2017-09-11,1.1391
2017-09-12,-0.2798
2017-09-13,0.2806
2017-09-19,-0.3914
2017-09-26,-0.0953
2017-09-27,-0.0039
2017-09-28,0.001
2017-10-03,0.0
2017-10-04,-0.586
2017-10-05,0.1939
2017-10-06,0.3949
2017-10-09,0.0
2017-10-11,0.0
2017-10-17,0.0
2017-10-18,0.1967
2017-10-20,0.1963
2017-10-23,0.097
2017-10-25,-0.1947
2017-10-26,-0.2441
2017-10-27,0.5396
2017-11-14,-2.1505
2017-11-20,0.999
2017-11-24,1.186
2017-11-27,-0.39
2017-11-28,0.0
2017-11-29,-0.001
2017-11-30,-0.3916
2017-12-01,0.0
2017-12-06,0.5241
2017-12-08,-0.3254
2017-12-11,0.0
2017-12-13,-0.292
2017-12-20,-0.003
