ticker,RDML US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-03-09,0.0
2007-03-21,-13.0
2007-03-22,-2.2989
2007-03-27,-5.8824
2007-04-02,-0.25
2007-04-04,0.2506
2007-04-24,0.0
2007-05-02,0.0
2007-05-03,0.0
2007-05-29,0.0
2007-05-31,0.0
2007-06-01,0.0
2007-06-04,0.0
2007-06-08,-6.25
2007-06-11,6.6667
2007-06-25,-6.25
2007-06-26,5.3333
2007-06-27,-5.0633
2007-06-29,-6.6667
2007-07-02,0.0
2007-07-05,-7.1429
2007-07-06,-3.0769
2007-07-09,-4.7619
2007-07-11,-1.6667
2007-07-12,-0.678
2007-07-16,-14.6758
2007-07-17,0.0
2007-07-18,0.0
2007-07-19,0.0
2007-07-20,-0.4
2007-07-24,-0.4016
2007-07-26,0.8065
2007-07-27,-0.8
2007-07-31,0.0
2007-08-01,0.0
2007-08-03,-0.4032
2007-08-06,-6.8826
2007-08-07,5.2174
2007-08-08,3.3058
2007-08-09,2.0
2007-08-15,-2.3529
2007-08-16,0.0
2007-08-20,-1.6064
2007-08-28,-6.1224
2007-09-05,2.1739
2007-09-18,-25.5319
2007-09-19,2.8571
2007-09-20,27.7778
2007-09-21,0.0
2007-09-24,-4.3478
2007-09-25,2.2727
2007-09-26,2.2222
2007-09-27,-0.4348
2007-09-28,-1.7467000000000001
2007-10-01,-2.2222
2007-10-02,-9.0909
2007-10-04,-7.5
2007-10-05,0.0
2007-10-10,-21.6216
2007-10-11,-37.931
2007-10-12,22.2222
2007-10-15,22.7273
2007-10-16,1.4815
2007-10-17,8.0292
2007-10-18,28.3784
2007-10-19,-2.6316
2007-10-22,0.0
2007-10-23,-8.1081
2007-10-24,-1.7647
2007-10-25,1.1976
2007-10-26,-2.3669000000000002
2007-10-29,-3.0303
2007-10-30,3.125
2007-11-01,-9.0909
2007-11-02,-10.0
2007-11-06,3.7037
2007-11-08,-10.7143
2007-11-12,7.2
2007-11-16,-17.9104
2007-11-19,0.0
2007-11-20,-8.1818
2007-11-21,-0.9901
2007-11-28,-25.0
2007-11-29,6.6667
2007-11-30,-37.5
2007-12-04,-10.0
2007-12-05,-33.3333
2007-12-06,16.6667
2007-12-10,-25.7143
2007-12-11,34.6154
2007-12-13,-14.2857
2007-12-14,26.6667
2007-12-17,34.2105
2007-12-18,25.4902
2007-12-19,57.8125
2007-12-20,-0.9901
2007-12-21,-5.0
2007-12-24,5.2632
2007-12-26,-5.0
2007-12-27,2.1053
2007-12-28,2.0619
