ticker,PRTS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-02-09,19.0
2007-02-12,-0.5042
2007-02-13,0.6757
2007-02-14,-2.6846
2007-02-15,0.0
2007-02-16,0.0862
2007-02-20,7.2351
2007-02-21,0.3213
2007-02-22,-1.2810000000000001
2007-02-23,-2.1898
2007-02-26,-0.8292
2007-02-27,-3.7625
2007-02-28,1.1295
2007-03-01,-3.7801
2007-03-02,1.3393
2007-03-05,-0.6167
2007-03-06,-3.3688000000000002
2007-03-07,3.211
2007-03-08,-2.3111
2007-03-09,0.273
2007-03-12,-0.1815
2007-03-13,-0.3636
2007-03-14,-0.1825
2007-03-15,0.0
2007-03-16,-0.5484
2007-03-19,-0.5515
2007-03-20,2.3105
2007-03-21,-41.3731
2007-03-22,-2.9276
2007-03-23,-3.4920999999999998
2007-03-26,-6.9079
2007-03-27,-4.0636
2007-03-28,-0.7366
2007-03-29,-5.0093
2007-03-30,4.8828
2007-04-02,2.6071
2007-04-03,0.9074
2007-04-04,-0.7194
2007-04-05,0.5435
2007-04-09,0.3604
2007-04-10,3.5907
2007-04-11,0.6932
2007-04-12,-0.8606
2007-04-13,0.1736
2007-04-16,-0.6932
2007-04-17,-0.5236
2007-04-18,-0.1754
2007-04-19,-0.703
2007-04-20,1.5929
2007-04-23,-1.0453
2007-04-24,0.5282
2007-04-25,-0.1751
2007-04-26,-1.9298
2007-04-27,1.6099999999999999
2007-04-30,2.1127
2007-05-01,1.3793
2007-05-02,-1.5306
2007-05-03,0.1727
2007-05-04,3.1034
2007-05-07,-0.5017
2007-05-08,-1.0084
2007-05-09,0.1698
2007-05-10,0.0
2007-05-11,11.3559
2007-05-14,0.3044
2007-05-15,0.9105
2007-05-16,3.0075
2007-05-17,2.4818
2007-05-18,0.8547
2007-05-21,11.0169
2007-05-22,2.2901
2007-05-23,-0.3731
2007-05-24,-2.6217
2007-05-25,3.5897
2007-05-29,0.2475
2007-05-30,-2.0987999999999998
2007-05-31,0.1261
2007-06-01,1.5112999999999999
2007-06-04,-0.6203
2007-06-05,-0.1248
2007-06-06,2.0
2007-06-07,-0.2451
2007-06-08,3.8084
2007-06-11,2.9586
2007-06-12,-0.1149
2007-06-13,-0.5754
2007-06-14,1.5046
2007-06-15,1.9384000000000001
2007-06-18,1.3423
2007-06-19,1.5453000000000001
2007-06-20,-1.413
2007-06-21,2.4256
2007-06-22,1.2917
2007-06-25,-2.3379
2007-06-26,1.8498
2007-06-27,-0.4274
2007-06-28,-0.3219
