ticker,LKSDQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-29,0.0
2016-09-30,10.0
2016-10-03,-23.5027
2016-10-04,0.5243
2016-10-05,-5.8414
2016-10-06,-0.7016
2016-10-07,-10.7475
2016-10-10,2.2917
2016-10-11,1.3035
2016-10-12,-3.0559
2016-10-13,-1.7005
2016-10-14,0.6329
2016-10-17,3.6478
2016-10-18,4.2476
2016-10-19,-3.4924
2016-10-20,-2.7342
2016-10-21,2.315
2016-10-24,0.6465
2016-10-25,-0.1204
2016-10-26,3.7781000000000002
2016-10-27,-2.7885
2016-10-28,0.3984
2016-10-31,-3.8095
2016-11-01,-0.6601
2016-11-02,-1.6196000000000002
2016-11-03,-1.984
2016-11-04,2.1532999999999998
2016-11-07,-2.3609
2016-11-08,-0.6477
2016-11-09,-2.5641
2016-11-10,-14.6744
2016-11-11,-7.4752
2016-11-14,0.565
2016-11-15,9.4017
2016-11-16,2.3437
2016-11-17,6.0051
2016-11-18,-0.6241
2016-11-21,1.0628
2016-11-22,0.5736
2016-11-23,0.6654
2016-11-25,0.9915
2016-11-28,-6.4049
2016-11-29,2.2977
2016-11-30,0.7813
2016-12-01,0.3876
2016-12-02,-1.3031
2016-12-05,5.868
2016-12-06,4.6651
2016-12-07,6.1783
2016-12-08,2.5353
2016-12-09,0.8512
2016-12-12,-6.5514
2016-12-13,-0.5161
2016-12-14,-1.9022999999999999
2016-12-15,1.9392
2016-12-16,3.0696
2016-12-19,3.901
2016-12-20,0.9689
2016-12-21,2.6389
2016-12-22,5.1811
2016-12-23,2.8148
2016-12-27,1.2248
2016-12-28,1.0676
2016-12-29,7.4296
2016-12-30,-2.7204
2017-01-03,-3.7062
2017-01-04,-4.1638
2017-01-05,1.4239
2017-01-06,-1.3679000000000001
2017-01-09,-3.7591
2017-01-10,2.9958
2017-01-11,-2.1355
2017-01-12,1.8058999999999998
2017-01-13,1.1456
2017-01-17,-0.2923
2017-01-18,-1.3192
2017-01-19,-1.3368
2017-01-20,-1.0538
2017-01-23,0.038
2017-01-24,1.0646
2017-01-25,-0.7148
2017-01-26,-0.2653
2017-01-27,-0.7979
2017-01-30,-0.2298
2017-01-31,0.6526
2017-02-01,-0.2288
2017-02-02,3.555
2017-02-03,2.0672
2017-02-06,0.2532
2017-02-07,0.974
2017-02-08,-1.179
2017-02-09,0.9038
2017-02-10,-3.0813
2017-02-13,1.22
2017-02-14,0.7372
2017-02-15,-0.8416
2017-02-16,0.1107
2017-02-17,-0.9215
