ticker,DESP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-09-20,22.2308
2017-09-21,-2.9577999999999998
2017-09-22,4.2802
2017-09-25,-0.8396
2017-09-26,0.3763
2017-09-27,-0.0312
2017-09-28,0.6875
2017-09-29,-0.6828
2017-10-02,-1.4062999999999999
2017-10-03,1.4263
2017-10-04,0.5
2017-10-05,-0.2488
2017-10-06,0.717
2017-10-09,3.0641
2017-10-10,1.7117
2017-10-11,-0.7972
2017-10-12,-1.7856999999999998
2017-10-13,2.8485
2017-10-16,-2.2392
2017-10-17,-1.9891999999999999
2017-10-18,-0.738
2017-10-19,-4.5539
2017-10-20,-2.3044000000000002
2017-10-23,-1.0631
2017-10-24,1.1753
2017-10-25,-0.4315
2017-10-26,0.2
2017-10-27,-1.2974
2017-10-30,0.9437
2017-10-31,2.8381
2017-11-01,-0.7143
2017-11-02,-2.9104
2017-11-03,0.5389
2017-11-06,0.1675
2017-11-07,-2.8094
2017-11-08,0.9635
2017-11-09,-0.3408
2017-11-10,-2.0178
2017-11-13,-1.2216
2017-11-14,0.8481
2017-11-15,-0.876
2017-11-16,3.0753
2017-11-17,-2.2634
2017-11-20,-4.2105
2017-11-21,1.8315000000000001
2017-11-22,-3.2014
2017-11-24,0.3716
2017-11-27,-4.4428
2017-11-28,-3.0221
2017-11-29,-4.1151
2017-11-30,0.0
2017-12-01,-1.2917
2017-12-04,-3.4192
2017-12-05,0.5682
2017-12-06,12.1252
2017-12-07,4.2636
2017-12-08,-1.0409
2017-12-11,-2.2164
2017-12-12,0.0
2017-12-13,0.8068
2017-12-14,0.6098
2017-12-15,1.6667
2017-12-18,-2.7571
2017-12-19,0.7663
2017-12-20,3.384
2017-12-21,2.7951
2017-12-22,0.3578
2017-12-26,-1.5686
2017-12-27,-0.3622
2017-12-28,-1.8538999999999999
2017-12-29,1.7778
2018-01-02,5.6405
2018-01-03,-2.2735
2018-01-04,-3.6658
2018-01-05,3.2931
2018-01-08,-0.0354
2018-01-09,-2.2325
2018-01-10,-3.987
2018-01-11,7.8898
2018-01-12,2.5542
2018-01-16,-2.3541
2018-01-17,2.2013
2018-01-18,-1.5043
2018-01-19,1.2843
2018-01-22,3.1528
2018-01-23,-0.2658
2018-01-24,-0.0666
2018-01-25,0.1
2018-01-26,2.0646
2018-01-29,0.6199
2018-01-30,-2.3995
2018-01-31,1.1628
2018-02-01,-0.6568
2018-02-02,-0.6612
2018-02-05,-2.8286
2018-02-06,0.0342
2018-02-07,0.9928
