ticker,TBET US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-01-25,1.8091
2011-01-26,-2.6699
2011-01-27,0.7339
2011-01-28,0.7286
2011-01-31,-1.4466999999999999
2011-02-01,-2.0183
2011-02-02,0.0
2011-02-03,0.0
2011-02-04,0.0
2011-02-07,-3.5581
2011-02-08,0.7767
2011-02-09,-2.5048
2011-02-10,-3.1621
2011-02-11,2.8571
2011-02-14,0.1984
2011-02-15,0.396
2011-02-16,-0.3945
2011-02-17,-0.7921
2011-02-18,0.0
2011-02-22,-0.3992
2011-02-23,-5.8116
2011-02-24,0.0
2011-02-25,3.1915
2011-02-28,0.6186
2011-03-01,1.0246
2011-03-02,-0.5071
2011-03-03,-1.3252
2011-03-04,0.2066
2011-03-07,-0.2062
2011-03-08,-0.829
2011-03-09,-2.2891
2011-03-10,0.2132
2011-03-11,-2.1277
2011-03-14,-1.087
2011-03-15,3.2967
2011-03-16,-4.2952
2011-03-17,-0.2223
2011-03-18,0.2646
2011-03-21,-6.2222
2011-03-22,4.2654
2011-03-23,2.2727
2011-03-25,-1.7778
2011-03-28,2.9412000000000003
2011-03-29,-3.0769
2011-03-30,2.2676
2011-03-31,9.7561
2011-04-01,-4.2424
2011-04-04,-6.5401
2011-04-05,1.3544
2011-04-06,-6.6815
2011-04-07,-2.6253
2011-04-08,1.7157
2011-04-11,-13.494
2011-04-12,11.6992
2011-04-13,4.4888
2011-04-14,0.0
2011-04-15,0.2387
2011-04-18,-5.9524
2011-04-19,1.7722
2011-04-20,16.4179
2011-04-21,-8.977
2011-04-25,0.8744
2011-04-26,0.0669
2011-04-27,-4.186
2011-04-28,-0.7282
2011-04-29,-0.978
2011-05-02,-0.7407
2011-05-03,1.2438
2011-05-04,-2.3633
2011-05-05,-0.0959
2011-05-06,-3.0227
2011-05-09,0.2597
2011-05-10,0.7772
2011-05-11,-2.0566
2011-05-12,-0.2625
2011-05-13,-5.5263
2011-05-16,0.2786
2011-05-17,-9.4444
2011-05-18,-11.3497
2011-05-19,-6.2284
2011-05-20,3.321
2011-05-23,-3.9286
2011-05-24,0.0
2011-05-25,-6.3197
2011-05-26,10.2034
2011-05-27,-0.9767
2011-05-31,-8.3636
2011-06-01,-10.3175
2011-06-02,1.2002
2011-06-03,0.5629
2011-06-06,-13.0435
2011-06-07,8.5
2011-06-08,0.7892
2011-06-09,-5.8124
2011-06-10,5.8252
2011-06-13,-5.5046
2011-06-14,2.9126
2011-06-15,-0.9493
2011-06-16,-4.7562
