ticker,PSPW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-11-09,14.2857
2005-11-10,6.25
2005-11-11,0.0
2005-11-15,0.0
2005-11-16,23.5294
2005-11-21,0.0
2006-01-06,80.9524
2006-01-09,7.8947
2006-01-10,-7.3171
2006-01-11,215.7895
2006-01-20,0.0
2006-01-24,4.1667
2006-02-06,59.2
2006-02-09,-39.196
2006-02-23,9.9174
2006-03-24,-8.2707
2006-04-26,0.0
2006-06-27,0.0
2006-06-30,-18.0328
2006-07-13,5.0
2006-07-14,-3.8095
2006-07-31,0.0
2006-08-02,0.0
2006-08-22,48.5149
2006-08-24,-13.3333
2006-08-25,1.5385
2006-08-28,-24.2424
2006-08-31,2.0
2006-11-01,0.0
2006-12-15,0.0
2006-12-27,22.549
2007-01-04,-18.4
2007-01-24,91.1765
2007-01-25,-4.6154
2007-01-26,-16.6667
2007-01-30,0.6452
2007-02-01,0.641
2007-02-02,1.9108
2007-03-05,-2.5
2007-03-09,-16.6667
2007-03-12,-3.8462
2007-03-20,-18.4
2007-04-25,-11.7647
2007-06-13,-16.6667
2007-09-20,0.0
2007-09-21,0.6667
2007-09-26,-0.6623
2007-09-27,-6.6667
2007-10-10,14.2857
2007-10-22,1.25
2007-10-23,0.0
2007-10-30,11.1111
2007-11-06,12.2222
2007-12-06,-16.8317
2007-12-07,-9.5238
2007-12-10,-14.473700000000001
2007-12-13,-9.2308
2007-12-26,-13.5593
2007-12-28,5.8824
2007-12-31,-3.7037
2008-01-24,207.6923
2008-01-25,87.5
2008-01-28,33.3333
2008-02-01,23.75
2008-02-04,-2.2222
2008-02-05,81.8182
2008-02-06,-20.4545
2008-02-07,-2.0
2008-02-11,0.0
2008-02-12,-18.3673
2008-02-13,10.0
2008-02-14,15.9091
2008-02-15,0.0
2008-02-19,-1.9607999999999999
2008-02-20,20.0
2008-02-21,0.0
2008-02-22,7.6667
2008-02-25,12.2291
2008-02-26,6.8966
2008-02-27,9.6774
2008-02-28,2.9412000000000003
2008-02-29,-5.1429
2008-03-03,5.4217
2008-03-04,-7.1429
2008-03-05,-0.3077
2008-03-07,-1.2346
2008-03-10,1.25
2008-03-11,0.9259
2008-03-12,0.9174
2008-03-13,0.0
2008-03-14,0.0
2008-03-18,0.0
2008-03-19,0.0
2008-03-20,-7.2727
2008-03-24,0.0
2008-03-25,0.0
2008-03-26,0.0
2008-03-27,0.0
2008-03-28,1.3072
2008-03-31,0.0
2008-04-01,-1.2903
2008-04-02,0.0
