ticker,PFBC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-07,0.0
2000-01-13,0.0
2000-01-21,-11.7647
2000-03-20,6.6667
2000-05-16,-3.125
2000-05-18,-9.6774
2000-05-25,-3.5714
2000-07-10,7.4074
2000-07-18,-5.1724
2000-12-18,7.2727
2001-01-03,0.0
2001-01-16,5.0847
2001-01-31,-3.2258
2001-02-06,-5.8333
2001-02-07,-4.4248
2001-02-09,7.4074
2001-03-01,-5.1724
2001-03-29,3.6364
2001-04-27,0.0
2001-06-01,0.9373
2001-06-15,1.7856999999999998
2001-09-04,-4.9123
2001-09-21,-0.369
2001-09-24,-2.2222
2001-12-27,2.2727
2002-01-15,1.8519
2002-03-04,3.6364
2002-07-11,2.7397
2002-07-12,5.2632
2002-07-15,0.0
2002-07-22,0.0
2002-07-23,6.6667
2002-07-24,0.0
2002-07-31,-9.375
2002-08-07,1.0345
2002-08-13,-0.273
2002-08-14,4.3806
2002-09-27,-1.6393
2002-10-03,-0.6667
2002-11-19,0.6711
2002-11-20,-1.6667
2003-03-03,5.0847
2003-03-25,9.6774
2003-04-07,0.0
2003-05-14,1.432
2003-07-01,5.8824
2004-01-06,-0.5556
2004-03-02,22.905
2005-02-15,97.6471
2005-02-16,-2.0238
2005-02-17,-0.9478
2005-02-18,-1.1286
2005-02-22,-1.2407
2005-02-23,-0.2513
2005-02-24,0.7053
2005-02-25,0.05
2005-02-28,-1.375
2005-03-01,0.6337
2005-03-02,0.4786
2005-03-03,-0.9526
2005-03-04,1.2402
2005-03-07,-0.975
2005-03-08,0.101
2005-03-09,-0.8323
2005-03-10,-1.297
2005-03-11,-0.7988
2005-03-14,1.039
2005-03-15,-1.671
2005-03-16,-0.1307
2005-03-17,0.1309
2005-03-18,0.0
2005-03-21,0.4758
2005-03-22,0.1769
2005-03-23,-0.1558
2005-03-24,-0.4943
2005-03-28,-0.0523
2005-03-29,0.0
2005-03-30,2.1188
2005-03-31,2.2029
2005-04-01,-2.1053
2005-04-04,-0.256
2005-04-05,-2.3357
2005-04-06,0.2365
2005-04-07,1.1799
2005-04-08,-1.1661
2005-04-11,0.4195
2005-04-12,-0.3916
2005-04-13,-0.3932
2005-04-14,0.0
2005-04-15,-0.6579
2005-04-18,1.245
2005-04-19,0.2093
2005-04-20,-0.7833
2005-04-21,-0.0789
2005-04-22,0.0965
2005-04-25,-0.2542
2005-04-26,-1.6155
2005-04-27,0.1346
2005-04-28,1.4785
2005-04-29,-0.0265
2005-05-02,-0.1325
