ticker,RNDB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-07-05,0.7393
2016-07-06,0.0489
2016-07-07,0.0326
2016-07-08,-0.1627
2016-07-11,0.5297
2016-07-12,0.1216
2016-07-13,0.081
2016-07-14,0.4045
2016-07-15,-0.3223
2016-07-18,2.2635
2016-07-19,-1.1858
2016-07-20,1.2
2016-07-21,0.3953
2016-07-22,0.0
2016-07-25,-0.315
2016-07-26,0.2765
2016-07-27,-0.0394
2016-07-28,0.4728
2016-07-29,0.0784
2016-08-01,0.3135
2016-08-02,-0.3906
2016-08-03,0.3922
2016-08-04,-0.2344
2016-08-05,0.1512
2016-08-08,-0.3074
2016-08-09,0.3137
2016-08-10,-0.3127
2016-08-11,0.3137
2016-08-12,-0.1046
2016-08-15,-0.1301
2016-08-16,-0.0784
2016-08-17,0.0
2016-08-18,0.0784
2016-08-19,0.3918
2016-08-22,-0.3903
2016-08-23,0.0
2016-08-24,0.3918
2016-08-25,0.0
2016-08-26,0.1561
2016-08-29,-0.6235
2016-08-30,0.1569
2016-08-31,0.1566
2016-09-01,-0.7037
2016-09-02,0.7087
2016-09-06,1.3292
2016-09-07,0.1543
2016-09-08,0.7704
2016-09-09,-0.2294
2016-09-12,0.2299
2016-09-13,0.6881
2016-09-14,-0.1519
2016-09-15,-0.6084
2016-09-16,-3.29
2016-09-19,3.2437
2016-09-20,0.1533
2016-09-21,0.2295
2016-09-22,-0.6107
2016-09-23,1.1521
2016-09-26,0.4556
2016-09-27,0.8314
2016-09-28,-0.2249
2016-09-29,1.3524
2016-09-30,1.0378
2016-10-03,2.2744
2016-10-04,-0.2869
2016-10-05,-0.0719
2016-10-06,-0.216
2016-10-07,0.2165
2016-10-10,0.288
2016-10-11,-0.1436
2016-10-12,0.0719
2016-10-13,-1.3649
2016-10-14,0.0728
2016-10-17,1.0917
2016-10-18,-0.144
2016-10-19,0.3605
2016-10-20,-0.3592
2016-10-21,0.0
2016-10-24,-0.1442
2016-10-25,-0.5776
2016-10-26,0.1452
2016-10-27,0.0725
2016-10-28,0.942
2016-10-31,-0.2154
2016-11-01,-0.3719
2016-11-02,0.0844
2016-11-03,-0.1132
2016-11-04,-0.609
2016-11-07,0.6532
2016-11-08,-0.2879
2016-11-09,0.2761
2016-11-10,0.7357
2016-11-11,0.0215
2016-11-14,2.8453
2016-11-15,0.0431
2016-11-16,3.3701
2016-11-17,-2.4259
2016-11-18,2.9687
2016-11-21,-0.0662
2016-11-22,-0.4237
2016-11-23,0.4255
