ticker,ENPH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-03-30,22.3333
2012-04-02,6.4033
2012-04-03,-2.1767
2012-04-04,-2.4869
2012-04-05,-0.2685
2012-04-09,-6.0565
2012-04-10,1.2894
2012-04-11,0.8487
2012-04-12,2.3843
2012-04-13,-2.7397
2012-04-16,0.8451
2012-04-17,-2.2346
2012-04-18,4.1429
2012-04-19,-3.4294000000000002
2012-04-20,-0.2841
2012-04-23,-0.5698
2012-04-24,-1.0029
2012-04-25,-0.4342
2012-04-26,-0.2907
2012-04-27,-1.6035
2012-04-30,7.8519
2012-05-01,8.7912
2012-05-02,1.0101
2012-05-03,10.25
2012-05-04,-5.2154
2012-05-07,-0.2392
2012-05-08,1.6787
2012-05-09,2.0047
2012-05-10,-0.578
2012-05-11,-1.9767000000000001
2012-05-14,-2.4911
2012-05-15,2.1898
2012-05-16,-0.9524
2012-05-17,1.0817
2012-05-18,-4.9940999999999995
2012-05-21,1.3767
2012-05-22,-1.358
2012-05-23,-1.1264
2012-05-24,-0.6329
2012-05-25,-0.7643
2012-05-29,0.1284
2012-05-30,-10.1282
2012-05-31,-1.5692
2012-06-01,-13.7681
2012-06-04,-16.6387
2012-06-05,7.4597
2012-06-06,25.5159
2012-06-07,-1.3453
2012-06-08,5.7576
2012-06-11,-7.5931
2012-06-12,9.7674
2012-06-13,-0.8475
2012-06-14,3.1339
2012-06-15,-3.1768
2012-06-18,-0.8559
2012-06-19,0.7194
2012-06-20,-2.8571
2012-06-21,-2.9412000000000003
2012-06-22,0.1515
2012-06-25,-4.9924
2012-06-26,-4.6178
2012-06-27,-2.3372
2012-06-28,7.5214
2012-06-29,-1.1129
2012-07-02,-0.4823
2012-07-03,0.0
2012-07-05,0.0
2012-07-06,0.8078
2012-07-09,-0.641
2012-07-10,-6.2903
2012-07-11,-1.2048
2012-07-12,-4.3554
2012-07-13,10.0182
2012-07-16,-6.1258
2012-07-17,-0.3527
2012-07-18,5.6637
2012-07-19,-1.5074999999999998
2012-07-20,3.7415000000000003
2012-07-23,1.8033000000000001
2012-07-24,-6.1192
2012-07-25,-1.2006999999999999
2012-07-26,1.9097
2012-07-27,-0.5111
2012-07-30,1.0274
2012-07-31,-1.5253999999999999
2012-08-01,-2.926
2012-08-02,2.4823
2012-08-03,4.3253
2012-08-06,4.9751
2012-08-07,5.3712
2012-08-08,-23.988
2012-08-09,9.6647
2012-08-10,1.259
2012-08-13,-9.9467
2012-08-14,1.9724
2012-08-15,-2.5145
