ticker,NXRT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-03-20,0.0
2015-03-23,-5.1724
2015-03-24,-4.8727
2015-03-25,2.8287
2015-03-26,5.948
2015-03-27,0.0
2015-03-30,1.4035
2015-03-31,-3.045
2015-04-01,-1.142
2015-04-02,0.4332
2015-04-06,4.6729
2015-04-07,-0.0687
2015-04-08,-0.756
2015-04-09,-1.385
2015-04-10,-1.4747
2015-04-13,-1.2117
2015-04-14,0.0722
2015-04-15,0.5047
2015-04-16,0.0717
2015-04-17,0.0717
2015-04-20,0.3582
2015-04-21,-0.4996
2015-04-22,0.0717
2015-04-23,-0.5735
2015-04-24,0.721
2015-04-27,-0.0716
2015-04-28,0.0
2015-04-29,-0.2149
2015-04-30,1.5074999999999998
2015-05-01,1.1315
2015-05-04,-0.2098
2015-05-05,-0.2803
2015-05-06,-0.7027
2015-05-07,-0.4954
2015-05-08,1.6358000000000001
2015-05-11,1.0497
2015-05-12,-0.1385
2015-05-13,0.8322
2015-05-14,-0.9629
2015-05-15,1.1806
2015-05-18,0.2745
2015-05-19,0.7529
2015-05-20,-0.1359
2015-05-21,0.8163
2015-05-22,0.5398
2015-05-26,0.0671
2015-05-27,0.8719
2015-05-28,0.9973
2015-05-29,-0.3292
2015-06-01,1.0568
2015-06-02,-1.0458
2015-06-03,-0.6605
2015-06-04,-1.1303
2015-06-05,-0.4035
2015-06-08,0.8778
2015-06-09,0.8032
2015-06-10,-0.3984
2015-06-11,0.24
2015-06-12,-1.1463
2015-06-15,-0.6821
2015-06-16,0.6181
2015-06-17,0.4096
2015-06-18,-1.2237
2015-06-19,1.5141
2015-06-22,-1.6271
2015-06-23,0.2068
2015-06-24,-0.4814
2015-06-25,-3.3172
2015-06-26,0.2144
2015-06-29,-4.5649
2015-06-30,0.3737
2015-07-01,2.2338
2015-07-02,-2.9133
2015-07-06,0.3001
2015-07-07,0.2992
2015-07-08,-0.7457
2015-07-09,0.0751
2015-07-10,0.6006
2015-07-13,-1.4179
2015-07-14,-0.3785
2015-07-15,1.6717
2015-07-16,0.8969
2015-07-17,0.6667
2015-07-20,-0.2943
2015-07-21,-0.4428
2015-07-22,0.2965
2015-07-23,0.0739
2015-07-24,-0.2954
2015-07-27,-2.5185
2015-07-28,-2.6596
2015-07-29,-0.5464
2015-07-30,-0.314
2015-07-31,2.126
2015-08-03,0.9252
2015-08-04,-2.8266
2015-08-05,-0.4717
2015-08-06,-2.6856
2015-08-07,-0.2435
2015-08-10,-2.1155
