ticker,DTSS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-04-07,152.5
2016-04-08,73.2673
2016-04-11,12.5714
2016-04-12,21.8274
2016-04-13,1.6667
2016-04-14,-24.1803
2016-04-15,10.8108
2016-04-18,2.439
2016-04-19,-7.1429
2016-04-20,-23.0769
2016-04-21,53.3333
2016-04-22,-11.3043
2016-04-25,10.2941
2016-04-26,23.1111
2016-04-27,1.083
2016-04-28,0.0
2016-04-29,-3.5714
2016-05-02,-11.0
2016-05-03,1.9559
2016-05-04,0.0
2016-05-05,-7.7551
2016-05-06,-0.4425
2016-05-09,0.8889
2016-05-10,-11.8943
2016-05-12,-5.0
2016-05-13,-1.5789
2016-05-16,-14.4385
2016-05-17,-9.375
2016-05-20,0.0
2016-05-23,0.0
2016-05-24,24.8276
2016-05-25,-3.3149
2016-05-26,1.9428999999999998
2016-05-27,0.3363
2016-05-31,-7.8212
2016-06-02,0.0
2016-06-06,-9.0909
2016-06-07,5.3333
2016-06-08,4.4304
2016-06-09,2.0606
2016-06-10,-7.9572
2016-06-13,9.0323
2016-06-14,-8.284
2016-06-16,-32.2581
2016-06-21,42.8571
2016-06-23,0.0
2016-06-24,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,18.6667
2016-07-01,-2.2472
2016-07-05,9.1954
2016-07-06,10.526299999999999
2016-07-07,-0.9524
2016-07-22,-23.0769
2016-07-25,53.9062
2016-07-26,-1.7259
2016-07-27,-1.6529
2016-07-28,0.0
2016-07-29,-0.4202
2016-08-09,18.1435
2016-08-11,-3.5714
2016-08-12,-1.8519
2016-08-15,0.0
2016-08-30,-3.3396
2016-08-31,9.311
2016-09-06,7.1429
2016-09-08,6.6667
2016-09-14,43.75
2016-09-15,8.6957
2016-09-16,0.0
2016-09-19,-37.8
2016-09-20,44.6945
2016-09-21,22.2222
2016-09-22,-22.7273
2016-09-23,17.647100000000002
2016-09-26,18.0
2016-09-29,17.9661
2016-10-04,-28.1609
2016-10-05,20.0
2016-10-07,1.6667
2016-10-10,-9.8361
2016-10-11,9.0909
2016-10-17,-0.8333
2016-10-19,0.8403
2016-10-24,0.0
2016-10-25,-8.3333
2016-10-28,6.3636
2016-11-08,-0.8547
2016-11-10,0.0
2016-11-14,-3.4483
2016-11-16,0.8929
2016-11-22,-7.0796
2016-11-23,-19.0476
2016-11-25,36.1176
2016-12-05,-1.4693
2016-12-14,-1.7544
2016-12-15,6.9643
2016-12-21,-1.5025
2016-12-27,0.0
