ticker,PGAS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-08-04,-0.9845
2014-08-05,36.3636
2014-08-06,-10.0
2014-08-07,-27.7778
2014-08-08,5.1603
2014-08-11,0.0457
2014-08-12,-22.0107
2014-08-13,-37.5
2014-08-14,-0.0625
2014-08-15,-34.9593
2014-08-18,7.5962
2014-08-19,28.6863
2014-08-20,-27.7778
2014-08-21,-13.0769
2014-08-22,50.4425
2014-08-25,35.2941
2014-08-26,0.0
2014-08-27,-21.7391
2014-08-28,11.0417
2014-08-29,-5.4409
2014-09-02,-6.3492
2014-09-03,1.1299
2014-09-04,-6.7039
2014-09-05,4.7156
2014-09-08,-1.0722
2014-09-09,-3.5404999999999998
2014-09-10,-14.3071
2014-09-11,2.0979
2014-09-12,-1.3699
2014-09-15,-2.7778
2014-09-16,-7.2768
2014-09-17,0.9148
2014-09-18,-0.7634
2014-09-19,2.3077
2014-09-22,3.7594
2014-09-23,-13.0435
2014-09-24,0.9375
2014-09-25,-4.4892
2014-09-26,-10.967
2014-09-29,-2.9126
2014-09-30,10.0
2014-10-01,-14.5455
2014-10-02,-20.2128
2014-10-03,6.6667
2014-10-06,31.25
2014-10-07,-9.4048
2014-10-08,10.3811
2014-10-09,-4.6429
2014-10-10,4.9938
2014-10-13,-6.6587
2014-10-14,0.0
2014-10-15,-3.1847
2014-10-16,-5.3947
2014-10-17,-10.9875
2014-10-20,5.4688
2014-10-21,-5.1852
2014-10-22,5.0
2014-10-23,0.0
2014-10-24,19.0476
2014-10-27,-0.125
2014-10-28,-14.8936
2014-10-29,2.9412000000000003
2014-10-30,-5.7143
2014-10-31,-1.8182
2014-11-03,1.8519
2014-11-04,-3.0303
2014-11-05,-22.5
2014-11-06,-1.4113
2014-11-07,-1.6360000000000001
2014-11-10,-1.6632
2014-11-11,5.4968
2014-11-12,-3.8076
2014-11-13,0.0
2014-11-14,-5.5208
2014-11-17,5.8434
2014-11-18,0.0
2014-11-19,0.0
2014-11-20,-14.7917
2014-11-21,0.0
2014-11-24,30.6846
2014-11-25,-20.9542
2014-11-26,11.716
2014-11-28,-11.0169
2014-12-01,-9.2857
2014-12-02,-3.0184
2014-12-03,-45.8728
2014-12-04,8.0
2014-12-05,11.1111
2014-12-08,32.9167
2014-12-09,-24.4514
2014-12-10,0.0
2014-12-11,-0.4149
2014-12-12,0.0
2014-12-16,-65.625
2014-12-17,369.0909
2014-12-18,-0.7752
2014-12-22,0.0
2014-12-23,25.0
2014-12-24,-41.4583
