ticker,YIPI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-11-06,68.6275
2009-11-09,208.1395
2009-11-10,-4.1509
2009-11-11,-9.4488
2009-11-12,19.5652
2009-11-13,1.8182
2009-11-16,13.9286
2009-11-17,24.1379
2009-11-18,13.6364
2009-11-19,9.3333
2009-11-20,-20.122
2009-11-23,3.0534
2009-11-24,10.3704
2009-11-25,35.5621
2009-11-27,-10.8856
2009-11-30,16.6667
2009-12-01,-9.5238
2009-12-02,0.0
2009-12-03,7.8947
2009-12-04,14.6341
2009-12-07,5.5319
2009-12-08,7.6613
2009-12-09,-11.985
2009-12-10,-4.2553
2009-12-11,11.1111
2009-12-14,59.2
2009-12-15,-14.5729
2009-12-16,-2.9412000000000003
2009-12-17,-1.8182
2009-12-18,11.1111
2009-12-21,17.7778
2009-12-22,-11.3208
2009-12-23,6.117
2009-12-24,-4.7619
2009-12-28,2.6316
2009-12-29,-2.5641
2009-12-30,-3.9474
2009-12-31,0.0
2010-01-04,0.0
2010-01-05,-6.8493
2010-01-06,7.3529
2010-01-07,-6.8493
2010-01-08,-21.7647
2010-01-11,-0.3759
2010-01-12,20.3774
2010-01-13,-1.8809
2010-01-14,-4.1534
2010-01-15,0.0
2010-01-19,3.3333
2010-01-20,-8.0645
2010-01-21,-3.5088
2010-01-22,1.8182
2010-01-25,0.0
2010-01-26,-10.7143
2010-01-27,0.0
2010-01-28,-4.0
2010-01-29,-8.3333
2010-02-01,-4.5455
2010-02-02,-19.0476
2010-02-03,11.1765
2010-02-04,0.0
2010-02-05,3.1746
2010-02-08,2.5641
2010-02-09,32.5
2010-02-10,1.1320999999999999
2010-02-11,-12.3134
2010-02-12,10.6383
2010-02-16,15.3846
2010-02-17,-0.6667
2010-02-18,1.8456000000000001
2010-02-19,3.4596
2010-02-22,9.5541
2010-02-23,1.7442
2010-02-24,5.4286
2010-02-25,-4.065
2010-02-26,-5.9322
2010-03-01,1.5015
2010-03-02,-0.8876
2010-03-03,-2.9851
2010-03-04,-18.4615
2010-03-05,3.0189
2010-03-08,-8.7912
2010-03-09,-3.6145
2010-03-10,4.1667
2010-03-11,-12.0
2010-03-12,0.0
2010-03-15,8.6364
2010-03-16,4.1841
2010-03-17,-21.6867
2010-03-18,7.1795
2010-03-19,-13.8756
2010-03-22,8.3333
2010-03-23,7.1795
2010-03-24,-15.311
2010-03-25,1.6949
2010-03-26,0.0
2010-03-29,2.7778
2010-03-30,-8.1081
2010-03-31,-10.0
2010-04-01,-15.0327
