ticker,NXNN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-09-28,0.0
2017-09-29,0.0
2017-10-02,0.0
2017-10-03,0.0
2017-10-04,0.0
2017-10-05,-2.5
2017-10-06,0.0
2017-10-10,0.0
2017-10-11,-20.0
2017-10-12,0.0
2017-10-13,-0.641
2017-10-16,-2.5806
2017-10-17,-0.6623
2017-10-18,-0.6667
2017-10-19,-0.6711
2017-10-23,-0.6757
2017-10-24,-31.9728
2017-10-25,-10.0
2017-10-26,6.6667
2017-10-27,0.0
2017-10-30,-31.25
2017-10-31,13.6364
2017-11-01,-20.0
2017-11-02,-4.6
2017-11-03,4.8218
2017-11-06,-8.3333
2017-11-07,-9.0909
2017-11-08,-10.0
2017-11-10,11.1111
2017-11-13,0.0
2017-11-14,-20.0
2017-11-15,112.5
2017-11-16,94.1176
2017-11-17,-3.0303
2017-11-21,0.0
2017-11-22,-28.125
2017-11-24,39.1304
2017-11-28,1.25
2017-11-30,14.1975
2017-12-05,2.7027
2017-12-06,-7.8947
2017-12-08,-2.8571
2017-12-18,0.0
2017-12-22,-69.4118
2017-12-26,246.1538
2018-01-02,-16.6667
2018-01-03,0.0
2018-01-04,-33.3333
2018-01-05,1.0
2018-01-16,8.9109
2018-01-18,4.5455
2018-01-19,-2.6087
2018-01-22,0.0
2018-01-24,-46.2679
2018-01-25,32.9345
2018-01-31,-21.2375
2018-02-01,19.0287
2018-02-07,36.0
2018-02-08,-1.9804
2018-02-09,0.02
2018-02-14,-0.04
2018-02-15,-5.032
2018-02-20,0.0
2018-02-21,-20.9944
2018-02-22,-13.3333
2018-02-23,6.1538
2018-02-26,10.1449
2018-02-27,0.0
2018-03-01,18.4211
2018-03-12,-35.5556
2018-03-13,1.7414
2018-03-14,52.4826
2018-03-16,-1.1002
2018-03-19,-30.3293
2018-03-20,38.6613
2018-03-23,0.6165
2018-04-06,-28.3237
2018-04-11,-33.871
2018-04-13,112.1951
2018-04-18,-3.4483
2018-04-26,1.1905000000000001
2018-04-27,11.7647
2018-05-01,-0.0105
2018-05-02,-5.2532
2018-05-03,-5.5556
2018-05-04,10.5882
2018-05-07,-14.8936
2018-05-08,-60.0
2018-05-09,71.875
2018-05-10,0.0
2018-05-11,54.5455
2018-05-14,-5.8824
2018-05-15,-18.75
2018-05-17,23.0769
2018-05-23,-6.25
2018-05-25,6.6667
2018-05-29,0.0
2018-05-31,-18.75
2018-06-01,23.0769
2018-06-04,-6.25
2018-06-05,0.0
2018-06-06,-1.3333
