ticker,AIXND US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-07-09,-96.1905
2008-09-04,400.0
2009-05-15,-80.0
2009-05-18,0.0
2009-12-17,0.0
2009-12-23,0.0
2010-03-05,10000.0
2010-03-26,3.9604
2010-04-06,1.9048
2010-04-20,0.0
2010-06-08,-89.7196
2010-09-14,-50.0
2011-03-22,-40.0
2011-08-18,224.2424
2011-10-20,0.0
2011-11-22,0.0
2011-12-22,0.0
2012-02-22,0.0
2012-02-29,30.8411
2012-04-16,-23.5714
2012-04-27,0.0
2012-05-02,0.0
2012-08-10,0.0
2012-11-15,-6.5421
2013-02-26,20.0
2013-05-16,-16.6667
2013-12-19,30.0
2014-01-23,-23.0769
2014-03-10,30.0
2014-03-17,15.3846
2014-06-30,0.0
2014-07-22,20.0
2014-09-19,0.0
2014-10-16,0.0
2014-12-17,0.0
2015-05-19,-44.4444
2015-09-29,40.0
2015-09-30,-57.1429
2015-10-15,0.0
2015-10-26,100.0
2015-11-19,-41.6667
2015-12-08,0.0
2015-12-24,0.0
2015-12-29,114.2857
2016-03-01,-53.3333
2016-03-04,0.0
2016-03-17,0.0
2016-04-01,167.1429
2016-04-05,6.9519
2016-04-06,-5.5
2016-04-07,5.291
2016-04-12,15.5779
2016-04-14,8.6957
2016-05-02,0.0
2016-05-10,-2.0
2016-05-18,2.0408
2016-05-19,-4.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-22,-17.0833
2016-06-27,0.0
2016-07-20,-2.0101
2016-07-21,0.0
2016-07-22,79.4872
2016-07-25,2.8571
2016-07-28,41.6667
2016-07-29,56.8627
2016-08-16,-37.5
2016-08-19,-21.0
2016-08-30,-8.4494
2016-09-06,9.2292
2016-09-08,153.1646
2016-09-14,-70.0
2016-09-15,-16.6667
2016-09-20,-20.0
2016-09-23,25.0
2016-10-03,0.0
2016-10-05,-5.2
2016-10-07,26.5823
2016-10-11,0.0
2016-10-13,0.0
2016-10-17,0.0
2016-11-04,110.0
2016-11-09,0.0
2016-11-25,-36.5079
2016-12-19,-62.5
2016-12-30,100.0
2017-01-11,-33.3333
2017-01-20,25.0
2017-02-03,0.0
2017-02-08,0.0
2017-02-16,16.0
2017-02-21,-13.7931
2017-02-24,0.0
2017-03-03,-4.0
2017-03-22,61.6667
2017-03-23,-3.3022
2017-03-30,-30.7013
2017-04-07,0.0
2017-04-27,11.3221
2017-05-08,-10.1706
2017-05-10,15.3846
2017-05-25,-30.0
2017-05-26,42.381
2017-05-31,-0.1672
