ticker,RXEI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-07-24,-14.4543
2007-07-25,20.6897
2007-07-26,-8.5714
2007-07-27,0.625
2007-07-30,-4.3478
2007-07-31,0.6494
2007-08-01,-3.2258
2007-08-02,-1.3333
2007-08-03,-2.027
2007-08-06,-1.3793
2007-08-07,-2.0979
2007-08-08,-0.7143
2007-08-09,-2.8777
2007-08-10,5.9259
2007-08-13,4.8951
2007-08-14,-3.3333
2007-08-15,0.0
2007-08-16,0.0
2007-08-17,-3.4483
2007-08-20,-1.4285999999999999
2007-08-21,0.0
2007-08-22,-1.4493
2007-08-23,1.4706000000000001
2007-08-24,1.4493
2007-08-27,-0.7143
2007-08-28,-0.7194
2007-08-29,-2.8986
2007-08-30,1.4925
2007-08-31,-2.2059
2007-09-04,-4.5113
2007-09-05,3.9370000000000003
2007-09-06,0.0
2007-09-07,1.5152
2007-09-10,-2.2388
2007-09-11,1.5267
2007-09-12,0.0
2007-09-13,-24.812
2007-09-14,7.0
2007-09-17,-5.6075
2007-09-18,8.9109
2007-09-19,-1.8182
2007-09-20,-6.4815
2007-09-21,-0.9901
2007-09-24,-10.0
2007-09-25,12.2222
2007-09-26,0.0
2007-09-27,1.9802
2007-09-28,-2.9126
2007-10-01,7.0
2007-10-02,-4.6729
2007-10-03,-6.8627
2007-10-04,5.2632
2007-10-05,1.0
2007-10-08,-4.9505
2007-10-09,11.4583
2007-10-10,-1.8692
2007-10-11,3.8095
2007-10-12,0.9174
2007-10-15,3.6364
2007-10-16,-1.7544
2007-10-17,-0.8929
2007-10-18,-3.6036
2007-10-19,-1.8692
2007-10-22,7.619
2007-10-23,-5.3097
2007-10-24,0.0
2007-10-25,0.0
2007-10-26,0.0
2007-10-29,0.0
2007-10-30,-1.8692
2007-10-31,1.9048
2007-11-01,-5.6075
2007-11-02,2.9703
2007-11-05,2.8846
2007-11-06,-11.215
2007-11-07,0.0
2007-11-08,0.0
2007-11-09,7.3684
2007-11-12,-0.9804
2007-11-13,0.9901
2007-11-14,-0.9804
2007-11-15,1.9802
2007-11-16,2.9126
2007-11-19,0.0
2007-11-20,-0.9434
2007-11-21,4.7619
2007-11-23,-4.5455
2007-11-26,0.9524
2007-11-27,-1.8868
2007-11-28,2.8846
2007-11-29,-16.822400000000002
2007-11-30,10.1124
2007-12-03,-16.3265
2007-12-04,-8.5366
2007-12-05,6.6667
2007-12-06,0.0
2007-12-07,12.5
2007-12-10,-5.5556
2007-12-11,-10.5882
