ticker,OTLK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-06-15,-1.7067
2016-06-16,2.4511
2016-06-17,-8.1395
2016-06-20,-2.307
2016-06-21,-4.1171
2016-06-22,-1.3514
2016-06-23,-1.3699
2016-06-24,-7.5
2016-06-27,0.6006
2016-06-28,-1.194
2016-06-29,6.858
2016-06-30,-3.8733
2016-07-05,-1.4706000000000001
2016-07-06,-0.597
2016-07-07,1.5314999999999999
2016-07-08,3.2239
2016-07-11,0.8596
2016-07-12,-7.6705
2016-07-13,-0.6154
2016-07-14,3.4056
2016-07-15,-1.7964
2016-07-18,-3.6585
2016-07-19,6.0127
2016-07-20,-1.791
2016-07-21,-0.9119
2016-07-25,2.7607
2016-07-26,0.0
2016-07-27,-1.194
2016-07-28,0.9063
2016-07-29,-2.6946
2016-08-03,-6.4423
2016-08-04,7.2148
2016-08-05,6.7485
2016-08-08,-0.2874
2016-08-09,0.8646
2016-08-10,6.8571
2016-08-11,-4.0107
2016-08-12,1.3928
2016-08-15,4.3956
2016-08-16,-0.2632
2016-08-17,-1.5831
2016-08-18,2.9491
2016-08-19,-0.7813
2016-08-22,1.5748
2016-08-23,2.0672
2016-08-24,-3.7975
2016-08-26,6.8421
2016-08-30,-1.4778
2016-08-31,18.5
2016-09-01,3.3755
2016-09-02,-3.0612
2016-09-06,14.1053
2016-09-07,-0.738
2016-09-08,-2.4164
2016-09-09,0.0
2016-09-12,-0.9524
2016-09-13,-3.8462
2016-09-14,-0.6
2016-09-15,0.4024
2016-09-16,-9.6192
2016-09-19,-2.439
2016-09-20,1.8182
2016-09-21,-1.5625
2016-09-22,1.5873
2016-09-23,0.2232
2016-09-26,-1.1136
2016-09-27,-0.9009
2016-09-28,-2.9545
2016-09-29,-1.6393
2016-09-30,1.1905000000000001
2016-10-03,-5.8824
2016-10-04,2.25
2016-10-05,0.4859
2016-10-06,-0.2403
2016-10-07,-0.2439
2016-10-10,-3.423
2016-10-11,-1.7722
2016-10-12,3.0928
2016-10-13,1.1031
2016-10-14,-3.0693
2016-10-17,-0.5134
2016-10-18,1.7981
2016-10-19,0.7525
2016-10-20,-0.8969
2016-10-21,9.2331
2016-10-24,-2.5404
2016-10-25,-0.6487
2016-10-26,-1.0167
2016-10-27,1.2048
2016-10-28,-0.4762
2016-10-31,0.7177
2016-11-01,-2.1378
2016-11-02,-0.4854
2016-11-03,-3.1707
2016-11-04,5.2897
2016-11-07,-3.3493
2016-11-08,0.0
2016-11-09,0.2475
