ticker,NET US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-09-13,20.0
2019-09-16,3.5
2019-09-17,0.6441
2019-09-18,4.48
2019-09-19,-4.2879
2019-09-20,5.9733
2019-09-23,5.4857
2019-09-24,-1.1927
2019-09-25,-0.9174
2019-09-26,-4.7271
2019-09-27,-6.7008
2019-09-30,1.8092000000000001
2019-10-01,-9.3161
2019-10-02,2.4347
2019-10-03,-2.7246
2019-10-04,2.9201
2019-10-07,-1.3317999999999999
2019-10-08,0.8803
2019-10-09,0.8726
2019-10-10,-5.8247
2019-10-11,0.8573
2019-10-14,-4.7359
2019-10-15,4.2702
2019-10-16,-3.1174
2019-10-17,0.3785
2019-10-18,-3.8969
2019-10-21,-2.0929
2019-10-22,-2.338
2019-10-23,0.7524
2019-10-24,7.5356
2019-10-25,2.0833
2019-10-28,-0.8658
2019-10-29,-1.9339
2019-10-30,6.4249
2019-10-31,0.6575
2019-11-01,-0.0594
2019-11-04,3.2086
2019-11-05,-1.5544
2019-11-06,-5.1462
2019-11-07,-2.0345
2019-11-08,1.4475
2019-11-11,0.6824
2019-11-12,-0.4313
2019-11-13,0.6188
2019-11-14,2.5215
2019-11-15,0.4199
2019-11-18,0.8961
2019-11-19,-3.4932
2019-11-20,3.8037
2019-11-21,2.6005000000000003
2019-11-22,2.3618
2019-11-25,1.6882000000000001
2019-11-26,3.9845
2019-11-27,4.364
2019-11-29,-0.6629
2019-12-02,-2.7721
2019-12-03,0.0528
2019-12-04,0.0528
2019-12-05,-6.4873
2019-12-06,4.2301
2019-12-09,-4.1667
2019-12-10,-0.2259
2019-12-11,-2.8297
2019-12-12,2.8538
2019-12-13,1.6421000000000001
2019-12-16,2.3398
2019-12-17,-4.1372
2019-12-18,-1.2493
2019-12-19,3.5078
2019-12-20,0.6667
2019-12-23,-4.3046
2019-12-24,0.0577
2019-12-26,-0.9798
2019-12-27,-2.8522
2019-12-30,3.1156
2019-12-31,-0.8716
2020-01-02,-0.1758
2020-01-03,0.8221
2020-01-06,3.0285
2020-01-07,-0.1131
2020-01-08,0.6225
2020-01-09,-4.2745
2020-01-10,2.7027
2020-01-13,5.0343
2020-01-14,1.8519
2020-01-15,0.8021
2020-01-16,0.5836
2020-01-17,-1.8987
2020-01-21,-3.2258
2020-01-22,0.2778
2020-01-23,0.6648
2020-01-24,-2.2014
2020-01-27,0.2814
2020-01-28,1.459
2020-01-29,-2.7102
2020-01-30,4.1501
2020-01-31,-2.5109
2020-02-03,-0.9518
