ticker,PETQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-07-21,45.75
2017-07-24,-4.8027
2017-07-25,-1.4414
2017-07-26,8.0439
2017-07-27,-5.2453
2017-07-28,4.8661
2017-07-31,-0.894
2017-08-01,1.5034
2017-08-02,-2.116
2017-08-03,0.8214
2017-08-04,-2.7015000000000002
2017-08-07,4.4513
2017-08-08,0.4641
2017-08-09,-2.226
2017-08-10,-4.854
2017-08-11,0.4966
2017-08-14,2.7403
2017-08-15,-0.6559
2017-08-16,-2.2007
2017-08-17,-5.3105
2017-08-18,7.4144
2017-08-21,3.0088
2017-08-22,3.2646
2017-08-23,7.0715
2017-08-24,1.9814
2017-08-25,-0.381
2017-08-28,-4.3212
2017-08-29,-0.2398
2017-08-30,-0.5208
2017-08-31,0.9263
2017-09-01,1.1173
2017-09-05,5.367
2017-09-06,-3.221
2017-09-07,-1.6641
2017-09-08,-0.4329
2017-09-11,-1.3439
2017-09-12,1.1619
2017-09-13,1.7426
2017-09-14,-1.4792
2017-09-15,-2.4891
2017-09-18,-5.7536000000000005
2017-09-19,-1.9346999999999999
2017-09-20,4.7786
2017-09-21,-0.8368
2017-09-22,6.7932
2017-09-25,-0.7902
2017-09-26,0.5974
2017-09-27,5.6611
2017-09-28,-1.4987
2017-09-29,3.0049
2017-10-02,0.7016
2017-10-03,-4.6571
2017-10-04,1.9231
2017-10-05,-1.5849
2017-10-06,-1.7255
2017-10-09,-2.8482
2017-10-10,3.2129
2017-10-11,-2.8794
2017-10-12,0.1202
2017-10-13,-1.8407
2017-10-16,0.2038
2017-10-17,0.5289
2017-10-18,2.3068
2017-10-19,0.8307
2017-10-20,1.0592
2017-10-23,-1.9022000000000001
2017-10-24,2.6118
2017-10-25,-4.3579
2017-10-26,-3.1048
2017-10-27,0.0416
2017-10-30,0.7488
2017-10-31,-0.6606
2017-11-01,-0.0416
2017-11-02,1.289
2017-11-03,2.5862
2017-11-06,2.8811999999999998
2017-11-07,-4.5508
2017-11-08,2.3635
2017-11-09,-10.4697
2017-11-10,-12.4055
2017-11-13,-8.4264
2017-11-14,6.4856
2017-11-15,4.4768
2017-11-16,4.5341000000000005
2017-11-17,-3.2888
2017-11-20,9.413499999999999
2017-11-21,-0.991
2017-11-22,1.0009
2017-11-24,-0.4505
2017-11-27,0.362
2017-11-28,-0.5861
2017-11-29,0.4535
2017-11-30,0.1354
2017-12-01,-8.2958
2017-12-04,6.3422
2017-12-05,-1.2945
2017-12-06,-1.5457
