ticker,GHSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-04-08,-3.5326
2019-04-09,-7.0423
2019-04-10,7.2727
2019-04-11,0.0
2019-04-12,-1.6977
2019-04-15,-1.1466
2019-04-16,-15.436
2019-04-17,-11.9972
2019-04-18,1.1719
2019-04-22,-13.1274
2019-04-23,8.8889
2019-04-24,-8.1633
2019-04-25,-8.4444
2019-04-26,9.2233
2019-04-29,-6.2222
2019-04-30,4.2654
2019-05-01,6.3591
2019-05-02,-9.3423
2019-05-03,-24.1031
2019-05-06,19.2547
2019-05-07,-3.125
2019-05-08,-5.3763
2019-05-09,-1.7045
2019-05-10,-8.6705
2019-05-13,-8.2278
2019-05-14,3.0276
2019-05-15,-1.5998
2019-05-16,0.6803
2019-05-17,-4.0541
2019-05-20,4.2254
2019-05-21,6.7568
2019-05-22,15.7722
2019-05-23,2.2305
2019-05-24,-13.9037
2019-05-28,-0.6211
2019-05-29,3.4375
2019-05-30,2.719
2019-05-31,-10.0
2019-06-03,2.6144
2019-06-04,24.8408
2019-06-05,-10.2041
2019-06-06,-2.8409
2019-06-07,1.1696
2019-06-10,-1.7341
2019-06-11,-5.8824
2019-06-12,1.875
2019-06-13,-1.227
2019-06-14,-0.9317
2019-06-17,-9.7179
2019-06-18,-6.1042
2019-06-19,4.2822
2019-06-20,7.234
2019-06-21,-10.7143
2019-06-24,3.7037
2019-06-25,-5.7143
2019-06-26,3.8106
2019-06-27,-1.4814
2019-06-28,-6.6667
2019-07-01,0.0
2019-07-02,1.5873
2019-07-03,-3.125
2019-07-05,-0.8065
2019-07-08,-4.878
2019-07-09,-3.4188
2019-07-10,-2.6549
2019-07-11,-2.7273
2019-07-12,-7.4766
2019-07-15,-4.9495000000000005
2019-07-16,2.0191
2019-07-17,93.75
2019-07-18,-12.9032
2019-07-19,-0.6173
2019-07-22,3.1056
2019-07-23,-19.2771
2019-07-24,7.4627
2019-07-25,-10.4167
2019-07-26,-3.1008
2019-07-29,-2.4
2019-07-30,-4.5082
2019-07-31,4.721
2019-08-01,1.1393
2019-08-02,-6.7996
2019-08-05,-8.6957
2019-08-06,0.9429
2019-08-07,-27.3705
2019-08-08,-27.2408
2019-08-09,16.0686
2019-08-12,-8.491
2019-08-13,-59.6571
2019-08-14,12.3333
2019-08-15,4.9703
2019-08-16,-2.0141
2019-08-19,4.2193
2019-08-20,-6.4706
2019-08-21,-1.7751000000000001
2019-08-22,-3.3318
2019-08-23,-2.2505
2019-08-26,7.2624
