ticker,JTBK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-10-04,-16.6667
2008-05-23,4490.0
2008-06-02,33.3333
2008-06-17,10.2941
2008-06-19,8.0
2008-06-20,6.1728
2008-06-30,-12.2093
2009-10-29,-86.755
2010-03-10,0.0
2010-03-25,-48.0
2010-04-01,1842.3077
2010-06-30,-82.1782
2010-08-27,66.6667
2010-08-31,0.0
2010-11-18,-60.0
2011-03-21,2450.0
2011-03-22,-29.4118
2011-04-06,8.3333
2011-04-18,0.0
2011-04-19,0.0
2011-04-21,-10.2564
2011-04-27,-28.5714
2011-05-09,-20.0
2011-05-13,5.0
2011-08-26,0.0
2011-09-01,0.0
2011-10-26,-28.5714
2011-11-07,-13.3333
2011-11-25,53.8462
2011-11-28,5.0
2011-12-02,-38.0952
2012-07-25,-23.0769
2013-04-22,30.0
2013-04-23,7.6923
2013-05-29,42.8571
2013-05-30,25.0
2013-06-03,4.0
2013-06-06,-3.8462
2013-11-14,-36.0
2013-11-15,-6.25
2013-12-16,6.6667
2014-02-13,0.0
2014-02-28,0.0
2014-06-17,-18.75
2014-09-19,0.0
2016-01-08,15.3846
2016-03-17,-15.3333
2017-06-22,18.1102
2017-06-23,0.0
2018-02-12,0.0
2018-02-20,-33.3333
2018-04-03,-90.0
2018-05-04,2801.0
2018-05-07,3.4126
2018-05-08,0.0
2018-05-10,100.0
2018-05-11,25.0
2018-05-14,-20.0
2018-05-15,16.6667
2018-05-16,7.1429
2018-05-17,-20.0
2018-05-18,33.3333
2018-05-21,0.0
2018-05-24,-6.25
2018-05-31,20.0
2018-06-01,-5.5556
2018-06-04,-11.7647
2018-06-05,6.6667
2018-06-06,25.0
2018-06-07,50.0
2018-06-08,-46.6667
2018-06-12,0.0
2018-06-14,0.0
2018-06-26,0.0
2018-06-27,25.0
2018-06-28,-20.0
2018-07-02,0.0
2018-07-09,-37.5
2018-07-10,0.0
2018-07-16,0.0
2018-07-23,0.0
2018-07-26,0.0
2018-08-01,-20.0
2018-08-03,0.0
2018-08-06,-25.0
2018-08-08,-16.6667
2018-08-24,20.0
2018-08-27,-16.6667
2018-09-14,0.0
2018-09-18,0.0
2018-10-18,-20.0
2018-10-23,50.0
2018-10-29,-33.3333
2018-11-13,25.0
2018-11-16,-20.0
2018-11-20,25.0
2018-11-21,-20.0
2018-11-29,25.0
2018-12-07,-20.0
2018-12-18,2.5
2019-01-30,-32.9268
2019-02-04,-27.2727
2019-02-05,0.0
2019-02-07,0.0
2019-02-08,0.0
