ticker,UNB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,-6.25
2000-01-05,13.3333
2000-01-06,23.5294
2000-01-12,-16.6667
2000-01-13,-14.2857
2000-01-14,33.3333
2000-01-18,-18.75
2000-01-20,-3.1855
2000-02-02,16.129
2000-02-10,-13.8889
2000-02-23,9.6774
2000-03-01,11.7647
2000-03-07,-18.4211
2000-03-13,0.0
2000-03-15,16.129
2000-03-22,-4.1667
2000-04-20,-12.5514
2000-05-08,-0.8403
2000-05-09,5.0847
2000-05-15,-3.2258
2000-05-18,1.6667
2000-06-08,-4.918
2000-06-20,-3.4483
2000-06-21,5.0
2000-06-22,0.3401
2000-06-26,-0.8475
2000-06-27,1.7094
2000-06-29,0.0
2000-07-07,4.2017
2000-07-13,-0.8847
2000-07-14,-0.8264
2000-07-17,0.0
2000-07-18,-0.4167
2000-07-19,0.4184
2000-07-20,0.0
2000-07-21,5.0
2000-07-24,0.3968
2000-07-25,6.7194
2000-07-26,0.7407
2000-07-27,0.7353
2000-07-28,4.3796
2000-07-31,0.6993
2000-08-01,2.0833
2000-08-07,0.6803
2000-08-08,1.3514
2000-08-09,-2.6667
2000-08-11,0.0
2000-08-14,0.6849
2000-08-15,0.6803
2000-08-16,-1.3514
2000-08-17,0.0
2000-08-18,-0.6849
2000-08-23,0.6897
2000-08-24,-0.6849
2000-09-01,0.0
2000-09-05,0.0
2000-09-06,-0.6897
2000-09-08,-0.6944
2000-09-11,0.6993
2000-09-12,-4.1667
2000-09-13,-1.4493
2000-09-18,0.0
2000-09-22,-2.2059
2000-09-26,-3.0075
2000-09-27,1.5504
2000-09-29,3.0534
2000-10-02,2.2222
2000-10-06,0.0
2000-10-11,0.7826
2000-10-17,1.4599
2000-10-23,-0.7194
2000-11-06,-1.4493
2000-11-08,3.6765
2000-11-09,0.7092
2000-11-21,-4.2254
2000-11-22,-2.9412000000000003
2000-11-29,1.5152
2000-12-07,-2.9851
2000-12-11,7.6923
2000-12-18,0.0
2000-12-26,-1.4285999999999999
2001-01-03,-1.4493
2001-01-04,0.0
2001-01-05,1.4706000000000001
2001-01-08,0.0
2001-01-11,0.0589
2001-01-12,1.4706000000000001
2001-01-16,0.7246
2001-01-17,0.7194
2001-01-19,0.0
2001-01-23,0.0
2001-01-24,-1.4285999999999999
2001-01-26,-2.1739
2001-01-29,2.2222
2001-01-31,1.4493
2001-02-01,1.1429
2001-02-05,0.2825
2001-02-06,0.8451
2001-02-07,1.6760000000000002
2001-02-08,-1.0989
