ticker,RZLTD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-01-14,1423.8095
2013-01-15,3.125
2013-01-17,-6.0606
2013-01-18,9.6774
2013-01-22,17.647100000000002
2013-01-23,12.5
2013-01-24,11.1111
2013-01-25,-10.0
2013-01-29,-11.1111
2013-01-31,0.0
2013-02-06,10.0
2013-02-08,0.0
2013-02-11,-20.4545
2013-02-12,-8.5714
2013-02-19,28.125
2013-02-20,0.0
2013-02-21,-2.439
2013-02-22,-10.0
2013-02-25,0.0
2013-02-26,-5.5556
2013-02-27,-5.2941
2013-02-28,-0.6211
2013-03-01,-3.125
2013-03-04,6.4516
2013-03-05,-3.0303
2013-03-06,-5.625
2013-03-07,3.9735
2013-03-08,-5.0955
2013-03-11,0.0
2013-03-12,-2.6846
2013-03-13,-13.1034
2013-03-14,19.0476
2013-03-15,6.0
2013-03-18,-0.6289
2013-03-19,-1.8987
2013-03-20,-6.4516
2013-03-21,-6.8966
2013-03-22,3.7037
2013-03-25,3.5714
2013-03-26,-1.3793
2013-03-27,-10.4895
2013-03-28,9.375
2013-04-01,0.0
2013-04-02,-10.7143
2013-04-03,4.0
2013-04-04,3.8462
2013-04-05,0.0
2013-04-08,-24.4444
2013-04-09,15.6863
2013-04-10,4.2373
2013-04-11,0.0
2013-04-12,-2.439
2013-04-15,-4.1667
2013-04-16,4.3478
2013-04-17,0.0
2013-04-18,0.0
2013-04-19,4.1667
2013-04-22,-5.6
2013-04-24,-0.8475
2013-04-25,-1.7094
2013-04-26,-1.7391
2013-04-29,0.0
2013-04-30,-11.5044
2013-05-01,15.0
2013-05-02,0.0
2013-05-03,-5.2174
2013-05-06,-1.8349
2013-05-07,0.9346
2013-05-08,0.0
2013-05-09,-6.4815
2013-05-10,3.9604
2013-05-13,-21.7143
2013-05-14,25.3041
2013-05-15,-0.9709
2013-05-16,-1.9607999999999999
2013-05-20,1.0
2013-05-22,-1.9802
2013-05-23,-3.0303
2013-05-24,-2.0833
2013-05-28,-4.2553
2013-05-29,-5.5556
2013-05-30,-24.7059
2013-05-31,32.8125
2013-06-03,-5.8824
2013-06-04,6.25
2013-06-11,0.0
2013-06-12,4.7059
2013-06-13,0.0
2013-06-17,0.0
2013-06-19,-4.4944
2013-06-21,-1.1764999999999999
2013-06-27,-1.1905000000000001
2013-06-28,-7.7108
2013-07-01,1.8277
2013-07-02,2.5641
2013-07-05,3.75
2013-07-09,2.4096
2013-07-10,-2.3529
2013-07-11,-10.8434
2013-07-12,8.1081
